account_code,account_name,type,subtype,normal_balance,beginning_balance,period_debit,period_credit,ending_balance,ending_debit,ending_credit
2500,Operating Lease Liability - Current,liability,lease,credit,2900625.04,26332.77,8522.66,2882814.93,,2882814.93
2510,Operating Lease Liability - Non-Current,liability,lease,credit,8170969.17,41189.91,26189.93,8155969.19,,8155969.19
3000,Common Stock,equity,contributed_capital,credit,1091.60,0.00,0.00,1091.60,,1091.60
3010,Additional Paid-In Capital,equity,contributed_capital,credit,260487266.44,0.00,0.00,260487266.44,,260487266.44
3100,Retained Earnings,equity,retained_earnings,credit,-260510856.47,0.00,0.00,-260510856.47,260510856.47,
3200,Current Year Earnings,equity,retained_earnings,credit,0.00,0.00,10656267.20,10656267.20,,10656267.20
4000,Subscription Revenue - Enterprise,revenue,subscription,credit,21197840.06,402689.51,10606809.10,31401959.65,,31401959.65
4010,Subscription Revenue - Mid-Market,revenue,subscription,credit,8264646.10,73937.30,4099294.34,12290003.14,,12290003.14
4020,Subscription Revenue - Small Team,revenue,subscription,credit,2914069.01,24049.54,1533811.29,4423830.76,,4423830.76
4100,Professional Services Revenue,revenue,services,credit,2529127.15,53398.59,1257148.40,3732876.96,,3732876.96
4200,Interest Income,revenue,other_income,credit,107858.85,1336.83,54579.91,161101.93,,161101.93
4900,Sales Discounts and Credits,revenue,contra_revenue,debit,429067.06,239396.09,13726.76,654736.39,654736.39,
5000,Hosting and Infrastructure,expense,cost_of_revenue,debit,3035763.97,1655397.07,96198.14,4594962.90,4594962.90,
5010,Third-Party Software in Product,expense,cost_of_revenue,debit,556304.48,284892.08,7833.30,833363.26,833363.26,
5020,Customer Support Salaries,expense,cost_of_revenue,debit,1747956.29,869779.19,16899.04,2600836.44,2600836.44,
5100,Payment Processing Fees,expense,cost_of_revenue,debit,603757.76,316093.60,18990.53,900860.83,900860.83,
6000,Salaries and Wages,expense,people,debit,9133996.88,4522220.98,112554.46,13543663.40,13543663.40,
6010,Payroll Taxes,expense,people,debit,1130151.66,641706.16,41915.30,1729942.52,1729942.52,
6020,Employee Benefits,expense,people,debit,1419995.45,719119.86,28199.73,2110915.58,2110915.58,
6030,Contractors and Consultants,expense,people,debit,1106063.63,549229.90,18023.82,1637269.71,1637269.71,
6040,Recruiting,expense,people,debit,532988.07,295091.86,17907.80,810172.13,810172.13,
6100,Rent and Facilities,expense,facilities,debit,1041727.31,553206.17,39013.36,1555920.12,1555920.12,
6110,Utilities,expense,facilities,debit,121882.28,63734.35,4610.16,181006.47,181006.47,
6120,Office Expense,expense,facilities,debit,221554.10,122392.74,8594.50,335352.34,335352.34,
6125,Office Supplies (merged into 6120 Office Expense),expense,facilities,debit,0.00,0.00,0.00,0.00,0.00,
6200,Software Subscriptions,expense,technology,debit,969073.25,523942.31,33058.72,1459956.84,1459956.84,
6300,Marketing Programs,expense,marketing,debit,1572013.57,869025.10,47228.09,2393810.58,2393810.58,
6310,Events and Conferences,expense,marketing,debit,807455.05,432185.85,29103.98,1210536.92,1210536.92,
6400,Travel and Entertainment,expense,travel,debit,636419.35,336075.69,16694.13,955800.91,955800.91,
6500,Professional Fees - Legal,expense,professional_fees,debit,325651.93,170620.07,4448.01,491823.99,491823.99,
6510,Professional Fees - Accounting and Audit,expense,professional_fees,debit,414045.56,207391.70,1322.93,620114.33,620114.33,
6600,Insurance,expense,insurance,debit,385920.54,207663.45,10180.14,583403.85,583403.85,
6700,Bank Fees and Service Charges,expense,bank,debit,32140.26,15832.84,534.05,47439.05,47439.05,
6800,Depreciation and Amortization,expense,depreciation,debit,1404548.45,699171.04,2102.81,2101616.68,2101616.68,
