payment_id,invoice_id,client_canon_id,invoice_date,invoice_amount_usd,due_date,payment_plan_id,installment_sequence,installment_due_date,installment_amount_usd,settlement_date,settled_amount_usd,settlement_status,method,record_type,mock_notice
PAY-LDB-2026-303,INV-LDB-2026-302,co-132,2026-02-13,21450.00,2026-02-28,PLN-LDB-01,2,2026-03-13,5362.50,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-304,INV-LDB-2026-302,co-132,2026-02-13,21450.00,2026-02-28,PLN-LDB-01,3,2026-03-20,5362.50,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-305,INV-LDB-2026-302,co-132,2026-02-13,21450.00,2026-02-28,PLN-LDB-01,4,2026-03-27,5362.50,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-306,INV-LDB-2026-303,co-201,2026-02-06,9625.00,2026-03-08,PLN-LDB-02,1,2026-03-10,2406.25,2026-03-09,2406.25,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-307,INV-LDB-2026-303,co-201,2026-02-06,9625.00,2026-03-08,PLN-LDB-02,2,2026-04-10,2406.25,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-308,INV-LDB-2026-303,co-201,2026-02-06,9625.00,2026-03-08,PLN-LDB-02,3,2026-05-11,2406.25,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-309,INV-LDB-2026-303,co-201,2026-02-06,9625.00,2026-03-08,PLN-LDB-02,4,2026-06-10,2406.25,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-310,INV-LDB-2026-304,co-201,2026-02-27,9625.00,2026-03-29,,,,9625.00,2026-03-26,9625.00,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-311,INV-LDB-2026-305,co-201,2026-03-13,9625.00,2026-04-12,,,,9625.00,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-312,INV-LDB-2026-306,co-202,2026-02-02,17600.00,2026-02-17,,,,17600.00,2026-02-13,17600.00,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-313,INV-LDB-2026-307,co-202,2026-02-19,22000.00,2026-03-06,,,,22000.00,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-314,INV-LDB-2026-308,co-202,2026-03-19,22000.00,2026-04-03,,,,22000.00,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-315,INV-LDB-2026-309,co-203,2026-02-02,10800.00,2026-02-17,,,,10800.00,2026-02-17,10800.00,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-316,INV-LDB-2026-310,co-203,2026-02-12,10800.00,2026-02-27,,,,10800.00,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-317,INV-LDB-2026-311,co-203,2026-03-12,10800.00,2026-03-27,,,,10800.00,,,open,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
