band_id,role_title,level,department,band_tier,headcount_in_band,band_min,band_mid,band_max,currency,band_effective_date,last_pay_review_date
BND-32,Onboarding Specialist,IC,Customer Success,entry,18,26257.67,32822.09,39386.51,USD,2026-01-05,2024-07-31
BND-33,Operations Analyst,IC,Operations,entry,11,27424.68,34280.85,41137.02,USD,2026-01-05,2024-10-31
BND-34,Operations Manager,Manager,Operations,core,4,51839.34,64799.17,77759.00,USD,2026-01-05,2024-06-30
BND-35,People Manager,Manager,People,core,4,52942.30,66177.88,79413.46,USD,2026-01-05,2026-02-28
BND-36,People Operations Specialist,IC,People,core,10,34156.32,42695.40,51234.48,USD,2026-01-05,2025-11-30
BND-37,Product Analyst,IC,Product,entry,13,33843.22,42304.03,50764.84,USD,2026-01-05,2026-01-31
BND-38,Product Manager,IC,Product,core,10,41272.22,51590.28,61908.34,USD,2026-01-05,2025-10-31
BND-39,Product Manager,Manager,Product,core,6,63971.95,79964.94,95957.93,USD,2026-01-05,2026-03-31
BND-40,Program Manager,IC,Operations,core,9,33444.74,41805.92,50167.10,USD,2026-01-05,2025-11-30
BND-41,QA Engineer,IC,Engineering,core,34,43406.99,54258.74,65110.49,USD,2026-01-05,2025-05-31
BND-42,Recruiter,IC,People,core,4,34156.32,42695.40,51234.48,USD,2026-01-05,2024-09-30
BND-43,Sales Development Rep,IC,Sales,entry,19,29758.70,37198.37,44638.04,USD,2026-01-05,2025-08-31
BND-44,Sales Engineer,IC,Sales,core,20,36291.10,45363.87,54436.64,USD,2026-01-05,2025-07-31
BND-45,Sales Manager,Manager,Sales,core,16,56251.19,70313.99,84376.79,USD,2026-01-05,2026-01-31
BND-46,Security Engineer,IC,IT & Security,core,13,39849.05,49811.31,59773.57,USD,2026-01-05,2024-09-30
BND-47,Senior Product Manager,IC,Product,senior,15,48701.22,60876.53,73051.84,USD,2026-01-05,2026-01-31
BND-48,Senior Software Engineer,IC,Engineering,senior,23,51220.26,64025.32,76830.38,USD,2026-01-05,2024-11-30
BND-49,Site Reliability Engineer,IC,Engineering,core,37,43406.99,54258.74,65110.49,USD,2026-01-05,2025-12-31
BND-50,Software Engineer,IC,Engineering,core,30,43406.99,54258.74,65110.49,USD,2026-01-05,2025-06-30
BND-51,Staff Accountant,IC,Finance,entry,5,30342.20,37927.75,45513.30,USD,2026-01-05,2025-02-28
BND-52,Staff Engineer,IC,Engineering,principal,21,59901.66,74877.07,89852.48,USD,2026-01-05,2024-04-30
BND-53,Support Engineer,IC,Customer Success,core,19,32021.55,40026.94,48032.33,USD,2026-01-05,2025-04-30
BND-54,"VP, Customer Success",VP,Customer Success,core,1,99266.82,124083.52,148900.22,USD,2026-01-05,2026-01-31
BND-55,"VP, Engineering",VP,Engineering,core,1,134561.69,168202.11,201842.53,USD,2026-01-05,2025-01-31
BND-56,"VP, Finance",VP,Finance,core,1,114708.32,143385.40,172062.48,USD,2026-01-05,2025-12-31
BND-57,"VP, IT & Security",VP,IT & Security,core,1,123532.04,154415.05,185298.06,USD,2026-01-05,2024-05-31
BND-58,"VP, Legal",VP,Legal,core,1,121326.11,151657.64,181989.17,USD,2026-01-05,2024-11-30
BND-59,"VP, Marketing",VP,Marketing,core,1,108090.54,135113.17,162135.80,USD,2026-01-05,2025-12-31
BND-60,"VP, Operations",VP,Operations,core,1,103678.67,129598.34,155518.01,USD,2026-01-05,2024-09-30
BND-61,"VP, People",VP,People,core,1,105884.60,132355.75,158826.90,USD,2026-01-05,2024-05-31
BND-62,"VP, Product",VP,Product,core,1,127943.90,159929.87,191915.84,USD,2026-01-05,2024-05-31
BND-63,"VP, Sales",VP,Sales,core,1,112502.39,140627.99,168753.59,USD,2026-01-05,2024-04-30
