employee_id,band_id,base_pay_amount,currency,pay_basis,compensation_effective_date,last_adjustment_date,work_location,synthetic_equity_cohort
EMP-0064,BND-49,47411.29,USD,annual,2026-01-29,2024-12-16,remote,cohort_a
EMP-0065,BND-49,55251.67,USD,annual,2026-03-30,2025-04-29,headquarters,cohort_b
EMP-0066,BND-49,48480.18,USD,annual,2026-02-19,2025-07-18,satellite_office,cohort_b
EMP-0067,BND-49,57378.62,USD,annual,2026-03-27,2024-12-16,headquarters,cohort_a
EMP-0068,BND-49,49869.21,USD,annual,2026-01-21,2025-09-08,remote,cohort_b
EMP-0069,BND-49,57411.17,USD,annual,2026-03-27,2026-02-03,headquarters,cohort_a
EMP-0070,BND-41,52066.69,USD,annual,2026-02-26,2024-05-20,remote,cohort_b
EMP-0071,BND-50,46982.64,USD,annual,2026-03-25,2024-09-09,remote,cohort_a
EMP-0072,BND-41,47476.40,USD,annual,2026-01-22,2025-03-20,remote,cohort_b
EMP-0073,BND-41,50314.13,USD,annual,2026-03-26,2025-07-25,satellite_office,cohort_a
EMP-0074,BND-52,68347.79,USD,annual,2026-01-28,2025-11-26,remote,cohort_a
EMP-0075,BND-50,54812.18,USD,annual,2026-03-05,2025-01-24,satellite_office,cohort_b
EMP-0076,BND-50,48512.74,USD,annual,2026-01-29,2026-01-16,remote,cohort_b
EMP-0077,BND-41,47362.45,USD,annual,2026-01-16,2025-12-10,remote,cohort_a
EMP-0078,BND-50,56727.51,USD,annual,2026-03-24,2024-11-18,headquarters,cohort_b
EMP-0079,BND-48,58371.88,USD,annual,2026-01-12,2025-12-10,remote,cohort_a
EMP-0080,BND-41,48311.98,USD,annual,2026-02-25,2024-07-24,remote,cohort_b
EMP-0081,BND-52,73791.35,USD,annual,2026-01-13,2025-11-20,headquarters,cohort_a
EMP-0082,BND-48,56303.87,USD,annual,2026-02-13,2024-10-22,remote,cohort_a
EMP-0083,BND-48,58679.21,USD,annual,2026-03-30,2026-02-26,remote,cohort_a
EMP-0084,BND-52,72316.27,USD,annual,2026-03-03,2025-09-25,satellite_office,cohort_b
EMP-0085,BND-41,53629.34,USD,annual,2026-03-19,2025-10-16,headquarters,cohort_b
EMP-0086,BND-49,52891.42,USD,annual,2026-02-04,2024-10-03,satellite_office,cohort_a
EMP-0087,BND-52,70391.93,USD,annual,2026-03-25,2025-11-03,remote,cohort_a
EMP-0089,BND-48,65068.93,USD,annual,2026-01-21,2024-10-16,remote,cohort_b
EMP-0090,BND-50,49093.31,USD,annual,2026-03-13,2024-09-27,satellite_office,cohort_b
EMP-0092,BND-41,49614.19,USD,annual,2026-02-18,2025-10-01,remote,cohort_b
EMP-0093,BND-41,51556.65,USD,annual,2026-01-15,2024-11-05,headquarters,cohort_a
EMP-0094,BND-48,58781.65,USD,annual,2026-03-06,2025-09-22,remote,cohort_a
EMP-0095,BND-48,62732.01,USD,annual,2026-01-23,2024-10-31,satellite_office,cohort_a
EMP-0096,BND-50,49733.56,USD,annual,2026-02-25,2024-07-05,remote,cohort_b
EMP-0097,BND-49,49706.43,USD,annual,2026-02-17,2025-03-04,remote,cohort_a
EMP-0098,BND-52,74562.59,USD,annual,2026-01-05,2025-04-09,satellite_office,cohort_a
EMP-0099,BND-50,44318.54,USD,annual,2026-01-14,2025-09-18,remote,cohort_a
EMP-0100,BND-49,52799.18,USD,annual,2026-01-09,2025-07-03,remote,cohort_a
EMP-0101,BND-41,48545.29,USD,annual,2026-02-27,2024-10-15,remote,cohort_a
EMP-0102,BND-50,58241.33,USD,annual,2026-02-20,2025-10-17,headquarters,cohort_a
EMP-0103,BND-50,55522.97,USD,annual,2026-03-09,2025-04-07,satellite_office,cohort_a
EMP-0104,BND-49,47432.99,USD,annual,2026-01-29,2025-02-19,remote,cohort_a
EMP-0105,BND-52,76928.70,USD,annual,2026-03-31,2025-08-22,headquarters,cohort_a
EMP-0106,BND-50,46081.95,USD,annual,2026-03-16,2025-07-15,remote,cohort_a
EMP-0107,BND-50,49370.03,USD,annual,2026-02-27,2025-03-13,remote,cohort_a
EMP-0108,BND-41,50091.67,USD,annual,2026-01-26,2025-05-29,satellite_office,cohort_a
EMP-0109,BND-41,52088.39,USD,annual,2026-01-06,2025-11-14,satellite_office,cohort_a
EMP-0110,BND-41,47167.12,USD,annual,2026-03-06,2026-03-06,remote,cohort_b
EMP-0111,BND-49,53124.73,USD,annual,2026-03-18,2025-03-10,satellite_office,cohort_a
EMP-0112,BND-52,69411.04,USD,annual,2026-01-14,2024-04-22,remote,cohort_a
EMP-0113,BND-41,54964.10,USD,annual,2026-02-09,2025-08-22,headquarters,cohort_b
EMP-0114,BND-50,50666.81,USD,annual,2026-01-27,2025-03-28,satellite_office,cohort_b
EMP-0115,BND-49,56103.54,USD,annual,2026-03-30,2025-05-26,headquarters,cohort_a
EMP-0116,BND-52,72323.76,USD,annual,2026-01-12,2025-07-17,satellite_office,cohort_a
EMP-0117,BND-52,76734.02,USD,annual,2026-03-05,2025-11-11,headquarters,cohort_a
EMP-0118,BND-48,57142.60,USD,annual,2026-01-09,2024-05-30,remote,cohort_b
EMP-0119,BND-41,50520.31,USD,annual,2026-01-21,2025-08-04,remote,cohort_b
EMP-0120,BND-50,43406.99,USD,annual,2026-02-18,2024-11-08,headquarters,cohort_b
EMP-0121,BND-50,53037.92,USD,annual,2026-04-03,2026-01-01,satellite_office,cohort_b
EMP-0122,BND-41,54426.94,USD,annual,2026-03-19,2026-01-05,satellite_office,cohort_b
EMP-0123,BND-41,56602.72,USD,annual,2026-01-19,2025-03-10,satellite_office,cohort_b
EMP-0124,BND-49,48453.05,USD,annual,2026-02-27,2025-04-22,remote,cohort_a
EMP-0125,BND-49,45913.75,USD,annual,2026-02-02,2025-12-26,remote,cohort_b
EMP-0126,BND-48,63833.24,USD,annual,2026-04-02,2025-03-25,headquarters,cohort_b
EMP-0127,BND-48,64511.91,USD,annual,2026-01-05,2024-04-11,remote,cohort_b
EMP-0128,BND-41,52587.57,USD,annual,2026-01-05,2024-12-19,headquarters,cohort_a
EMP-0129,BND-52,69253.80,USD,annual,2026-03-05,2024-07-29,satellite_office,cohort_a
EMP-0130,BND-50,55436.15,USD,annual,2026-03-03,2024-05-03,satellite_office,cohort_a
EMP-0131,BND-41,53195.27,USD,annual,2026-04-01,2025-01-08,satellite_office,cohort_b
EMP-0132,BND-41,52137.22,USD,annual,2026-03-18,2024-04-05,remote,cohort_b
EMP-0133,BND-48,64012.51,USD,annual,2026-03-16,2024-09-20,satellite_office,cohort_b
EMP-0135,BND-41,49001.07,USD,annual,2026-01-05,2024-04-03,remote,cohort_b
EMP-0136,BND-41,53374.32,USD,annual,2026-01-22,2024-10-03,remote,cohort_b
EMP-0137,BND-48,59697.21,USD,annual,2026-02-10,2025-09-05,satellite_office,cohort_a
EMP-0138,BND-52,74929.48,USD,annual,2026-04-03,2025-10-08,satellite_office,cohort_b
EMP-0139,BND-50,56581.01,USD,annual,2026-01-07,2025-09-04,headquarters,cohort_a
EMP-0140,BND-49,49098.73,USD,annual,2026-03-27,2024-08-30,remote,cohort_b
EMP-0141,BND-41,52229.46,USD,annual,2026-02-25,2025-11-27,headquarters,cohort_b
EMP-0142,BND-41,54812.18,USD,annual,2026-01-20,2024-10-23,headquarters,cohort_a
EMP-0144,BND-52,71934.40,USD,annual,2026-04-02,2025-01-01,satellite_office,cohort_b
EMP-0145,BND-50,51817.10,USD,annual,2026-03-11,2026-02-23,satellite_office,cohort_a
EMP-0146,BND-49,58566.88,USD,annual,2026-04-03,2025-01-14,headquarters,cohort_b
EMP-0147,BND-50,53249.53,USD,annual,2026-01-29,2025-01-08,remote,cohort_b
EMP-0148,BND-41,51073.75,USD,annual,2026-02-23,2025-05-06,remote,cohort_a
EMP-0149,BND-50,55186.56,USD,annual,2026-03-10,2025-03-11,remote,cohort_b
EMP-0150,BND-41,45832.36,USD,annual,2026-03-03,2025-12-19,remote,cohort_a
EMP-0151,BND-52,67134.78,USD,annual,2026-03-26,2025-09-22,remote,cohort_b
EMP-0152,BND-49,52386.81,USD,annual,2026-03-13,2024-10-15,remote,cohort_a
EMP-0153,BND-49,53911.48,USD,annual,2026-03-31,2024-07-22,headquarters,cohort_a
EMP-0154,BND-48,65453.08,USD,annual,2026-01-13,2025-10-16,headquarters,cohort_a
EMP-0155,BND-52,72735.59,USD,annual,2026-01-07,2024-11-06,remote,cohort_b
EMP-0156,BND-52,67516.65,USD,annual,2026-03-24,2024-12-13,remote,cohort_b
EMP-0157,BND-41,51231.10,USD,annual,2026-01-26,2025-02-27,remote,cohort_a
EMP-0158,BND-52,71829.57,USD,annual,2026-03-30,2025-08-18,remote,cohort_b
EMP-0159,BND-52,75064.26,USD,annual,2026-03-12,2024-10-07,satellite_office,cohort_a
EMP-0160,BND-48,61861.26,USD,annual,2026-03-11,2025-10-03,remote,cohort_b
EMP-0161,BND-52,71537.55,USD,annual,2026-02-11,2025-07-01,headquarters,cohort_b
EMP-0162,BND-50,56808.90,USD,annual,2026-03-17,2024-05-24,headquarters,cohort_b
EMP-0163,BND-48,54914.52,USD,annual,2026-03-26,2024-05-14,remote,cohort_b
EMP-0164,BND-49,52923.97,USD,annual,2026-03-16,2024-10-03,remote,cohort_a
EMP-0165,BND-50,44237.15,USD,annual,2026-03-24,2025-12-12,remote,cohort_a
EMP-0166,BND-49,55555.52,USD,annual,2026-03-10,2026-02-04,headquarters,cohort_b
EMP-0167,BND-49,49554.51,USD,annual,2026-03-25,2025-03-28,remote,cohort_b
EMP-0168,BND-50,52305.43,USD,annual,2026-03-20,2025-02-07,headquarters,cohort_b
EMP-0169,BND-49,53569.65,USD,annual,2026-01-08,2024-09-05,satellite_office,cohort_a
EMP-0170,BND-49,54953.25,USD,annual,2026-01-13,2025-11-18,headquarters,cohort_a
EMP-0171,BND-48,61233.82,USD,annual,2026-02-03,2025-08-28,remote,cohort_a
EMP-0172,BND-48,54408.72,USD,annual,2026-03-18,2024-11-25,remote,cohort_b
EMP-0173,BND-52,78695.80,USD,annual,2026-01-09,2025-04-08,headquarters,cohort_b
EMP-0174,BND-48,61265.83,USD,annual,2026-01-06,2026-01-01,headquarters,cohort_b
EMP-0175,BND-49,45864.91,USD,annual,2026-01-09,2025-08-26,remote,cohort_b
EMP-0176,BND-50,53238.68,USD,annual,2026-01-29,2025-03-12,headquarters,cohort_a
EMP-0177,BND-41,49999.43,USD,annual,2026-01-08,2025-06-04,remote,cohort_b
EMP-0178,BND-48,59377.08,USD,annual,2026-03-27,2026-03-17,remote,cohort_b
EMP-0179,BND-48,56278.26,USD,annual,2026-02-23,2025-06-11,remote,cohort_b
EMP-0180,BND-50,51431.86,USD,annual,2026-03-30,2025-11-11,satellite_office,cohort_b
EMP-0181,BND-49,46005.99,USD,annual,2026-01-22,2025-05-20,remote,cohort_b
EMP-0182,BND-49,54057.98,USD,annual,2026-03-25,2025-10-10,headquarters,cohort_b
EMP-0183,BND-48,62437.49,USD,annual,2026-01-14,2025-11-10,satellite_office,cohort_a
EMP-0184,BND-52,70391.93,USD,annual,2026-02-27,2025-07-03,headquarters,cohort_b
EMP-0185,BND-48,71279.39,USD,annual,2026-01-08,2025-12-17,headquarters,cohort_b
EMP-0186,BND-48,60119.78,USD,annual,2026-03-09,2025-12-22,remote,cohort_a
EMP-0187,BND-49,52517.03,USD,annual,2026-02-25,2025-04-11,satellite_office,cohort_b
EMP-0188,BND-49,54231.61,USD,annual,2026-02-06,2024-06-26,satellite_office,cohort_b
EMP-0189,BND-49,49087.88,USD,annual,2026-02-06,2025-05-26,remote,cohort_a
EMP-0190,BND-48,58749.63,USD,annual,2026-02-23,2025-08-08,remote,cohort_a
EMP-0191,BND-50,47134.57,USD,annual,2026-03-04,2025-09-22,remote,cohort_b
EMP-0192,BND-62,142129.68,USD,annual,2026-03-23,2024-11-19,remote,cohort_b
EMP-0193,BND-20,116808.90,USD,annual,2026-03-23,2025-12-08,headquarters,cohort_a
EMP-0194,BND-20,101324.60,USD,annual,2026-03-12,2025-08-29,remote,cohort_b
EMP-0195,BND-20,101801.55,USD,annual,2026-02-13,2025-12-31,remote,cohort_a
EMP-0196,BND-39,76806.32,USD,annual,2026-02-11,2025-06-26,headquarters,cohort_b
EMP-0197,BND-39,76318.54,USD,annual,2026-02-12,2024-12-06,remote,cohort_b
EMP-0199,BND-39,77158.17,USD,annual,2026-04-02,2024-08-20,satellite_office,cohort_a
EMP-0200,BND-39,80852.55,USD,annual,2026-02-02,2024-08-23,satellite_office,cohort_a
EMP-0201,BND-39,83227.51,USD,annual,2026-01-21,2024-07-19,satellite_office,cohort_a
EMP-0202,BND-39,69969.32,USD,annual,2026-03-30,2024-11-13,remote,cohort_b
EMP-0203,BND-47,63494.22,USD,annual,2026-01-15,2025-12-01,headquarters,cohort_a
EMP-0204,BND-37,39253.91,USD,annual,2026-02-19,2024-08-23,remote,cohort_b
EMP-0205,BND-47,54953.24,USD,annual,2026-02-24,2024-06-18,remote,cohort_a
EMP-0206,BND-38,46116.55,USD,annual,2026-03-09,2024-06-12,remote,cohort_b
EMP-0207,BND-47,56517.77,USD,annual,2026-01-09,2024-10-04,satellite_office,cohort_a
EMP-0208,BND-47,58672.80,USD,annual,2026-02-09,2025-01-17,headquarters,cohort_a
EMP-0209,BND-37,39668.49,USD,annual,2026-03-27,2025-05-01,remote,cohort_a
EMP-0210,BND-47,58252.75,USD,annual,2026-03-09,2025-01-20,remote,cohort_a
EMP-0211,BND-37,39012.78,USD,annual,2026-03-26,2025-06-13,remote,cohort_b
EMP-0212,BND-37,43793.13,USD,annual,2026-01-14,2025-12-08,headquarters,cohort_a
EMP-0213,BND-38,53266.96,USD,annual,2026-03-16,2026-02-24,headquarters,cohort_b
EMP-0214,BND-47,52615.58,USD,annual,2026-03-06,2025-01-31,remote,cohort_a
EMP-0215,BND-47,56256.00,USD,annual,2026-01-08,2024-09-12,satellite_office,cohort_a
EMP-0216,BND-47,57516.15,USD,annual,2026-02-02,2025-06-06,remote,cohort_b
EMP-0217,BND-38,47978.96,USD,annual,2026-04-03,2025-04-14,remote,cohort_b
EMP-0218,BND-37,43755.06,USD,annual,2026-01-22,2024-09-13,headquarters,cohort_a
EMP-0219,BND-38,46359.03,USD,annual,2026-03-26,2025-05-27,remote,cohort_b
EMP-0220,BND-37,39994.23,USD,annual,2026-01-23,2024-04-19,satellite_office,cohort_a
EMP-0221,BND-37,34647.00,USD,annual,2026-02-27,2026-02-16,remote,cohort_a
EMP-0222,BND-37,35526.92,USD,annual,2026-03-26,2025-12-22,remote,cohort_b
EMP-0223,BND-38,52580.81,USD,annual,2026-02-25,2025-07-25,headquarters,cohort_a
EMP-0224,BND-37,43310.87,USD,annual,2026-03-16,2026-02-17,satellite_office,cohort_b
EMP-0225,BND-38,48118.25,USD,annual,2026-01-19,2025-11-07,remote,cohort_a
EMP-0226,BND-47,60030.35,USD,annual,2026-03-12,2025-01-31,headquarters,cohort_b
EMP-0227,BND-47,56907.38,USD,annual,2026-03-16,2025-12-04,satellite_office,cohort_b
EMP-0228,BND-47,58307.54,USD,annual,2026-03-24,2024-10-02,remote,cohort_b
EMP-0229,BND-37,40108.45,USD,annual,2026-01-08,2025-01-02,remote,cohort_a
EMP-0230,BND-38,50898.97,USD,annual,2026-01-30,2024-07-24,remote,cohort_a
EMP-0231,BND-37,33843.22,USD,annual,2026-02-03,2026-01-26,remote,cohort_a
EMP-0232,BND-47,57345.69,USD,annual,2026-03-31,2025-10-03,remote,cohort_b
EMP-0233,BND-38,46338.39,USD,annual,2026-02-27,2024-12-02,satellite_office,cohort_a
EMP-0234,BND-37,39786.94,USD,annual,2026-03-04,2025-09-04,headquarters,cohort_b
EMP-0235,BND-47,62508.02,USD,annual,2026-03-24,2025-12-05,headquarters,cohort_b
EMP-0236,BND-47,59525.07,USD,annual,2026-01-15,2025-04-03,headquarters,cohort_b
EMP-0237,BND-37,39892.70,USD,annual,2026-01-19,2025-12-11,remote,cohort_b
EMP-0238,BND-38,51249.78,USD,annual,2026-01-28,2025-12-26,headquarters,cohort_b
EMP-0239,BND-38,49217.13,USD,annual,2026-01-09,2025-01-09,remote,cohort_a
EMP-0240,BND-47,53638.31,USD,annual,2026-02-16,2025-05-15,remote,cohort_b
EMP-0241,BND-63,128955.87,USD,annual,2026-01-09,2024-11-04,remote,cohort_b
EMP-0242,BND-21,90344.19,USD,annual,2026-01-09,2025-11-19,satellite_office,cohort_a
EMP-0243,BND-21,98575.92,USD,annual,2026-01-27,2025-07-24,headquarters,cohort_a
EMP-0244,BND-21,91729.15,USD,annual,2026-01-09,2025-08-15,remote,cohort_a
EMP-0245,BND-21,88354.53,USD,annual,2026-01-20,2025-09-18,remote,cohort_b
EMP-0246,BND-21,86023.51,USD,annual,2026-03-31,2024-12-06,remote,cohort_b
EMP-0247,BND-21,94577.09,USD,annual,2026-01-07,2025-01-03,remote,cohort_b
EMP-0248,BND-45,69899.14,USD,annual,2026-02-02,2025-09-16,headquarters,cohort_b
EMP-0249,BND-45,73182.80,USD,annual,2026-03-16,2024-09-13,satellite_office,cohort_b
EMP-0250,BND-45,66924.86,USD,annual,2026-02-18,2025-10-06,remote,cohort_a
EMP-0251,BND-45,57952.79,USD,annual,2026-01-20,2025-08-18,remote,cohort_a
EMP-0252,BND-45,69863.98,USD,annual,2026-02-02,2024-07-02,headquarters,cohort_a
EMP-0253,BND-45,65609.98,USD,annual,2026-02-26,2024-09-20,remote,cohort_b
EMP-0254,BND-45,61946.63,USD,annual,2026-02-16,2025-12-26,remote,cohort_b
EMP-0255,BND-45,67079.55,USD,annual,2026-02-16,2025-01-29,remote,cohort_a
EMP-0256,BND-45,61749.75,USD,annual,2026-03-09,2025-11-24,remote,cohort_b
EMP-0257,BND-45,66467.81,USD,annual,2026-01-28,2025-09-02,remote,cohort_b
EMP-0258,BND-45,68443.64,USD,annual,2026-04-02,2025-01-16,headquarters,cohort_b
EMP-0259,BND-45,66299.06,USD,annual,2026-03-09,2025-05-14,remote,cohort_a
EMP-0260,BND-45,67740.50,USD,annual,2026-02-24,2025-06-20,headquarters,cohort_a
EMP-0261,BND-45,68267.85,USD,annual,2026-03-18,2025-05-15,headquarters,cohort_a
EMP-0262,BND-45,65659.20,USD,annual,2026-03-06,2024-08-01,remote,cohort_a
EMP-0263,BND-45,68274.88,USD,annual,2026-03-10,2025-04-18,remote,cohort_b
EMP-0264,BND-23,50430.01,USD,annual,2026-01-30,2025-09-18,headquarters,cohort_a
EMP-0265,BND-43,33538.05,USD,annual,2026-01-06,2025-07-15,remote,cohort_b
EMP-0266,BND-23,50761.89,USD,annual,2026-03-03,2026-02-17,satellite_office,cohort_b
EMP-0267,BND-23,47400.25,USD,annual,2026-03-03,2026-01-22,remote,cohort_b
EMP-0268,BND-43,39988.25,USD,annual,2026-04-02,2024-12-03,headquarters,cohort_b
EMP-0269,BND-23,52913.77,USD,annual,2026-01-29,2025-09-03,headquarters,cohort_a
EMP-0270,BND-44,46856.34,USD,annual,2026-03-04,2026-01-05,headquarters,cohort_a
EMP-0271,BND-44,41262.98,USD,annual,2026-02-11,2024-11-27,remote,cohort_b
EMP-0272,BND-03,45754.00,USD,annual,2026-02-23,2026-02-02,headquarters,cohort_b
EMP-0273,BND-03,43045.78,USD,annual,2026-01-15,2024-11-19,remote,cohort_a
EMP-0274,BND-43,40761.97,USD,annual,2026-04-01,2024-12-16,headquarters,cohort_a
EMP-0275,BND-03,44497.42,USD,annual,2026-03-09,2025-11-26,headquarters,cohort_b
EMP-0276,BND-23,51377.48,USD,annual,2026-02-23,2025-02-19,headquarters,cohort_a
EMP-0277,BND-23,45746.19,USD,annual,2026-03-13,2025-07-11,satellite_office,cohort_a
EMP-0278,BND-43,33906.31,USD,annual,2026-03-16,2024-05-07,satellite_office,cohort_a
EMP-0280,BND-44,43635.51,USD,annual,2026-01-28,2025-06-19,satellite_office,cohort_a
EMP-0281,BND-03,45794.83,USD,annual,2026-01-16,2025-11-14,headquarters,cohort_b
EMP-0282,BND-23,51843.19,USD,annual,2026-03-23,2025-06-11,remote,cohort_b
EMP-0283,BND-44,42002.41,USD,annual,2026-02-10,2025-04-16,remote,cohort_a
EMP-0284,BND-23,49327.31,USD,annual,2026-01-19,2025-10-15,remote,cohort_b
EMP-0285,BND-23,51736.13,USD,annual,2026-01-27,2024-10-02,satellite_office,cohort_b
EMP-0286,BND-44,43322.50,USD,annual,2026-02-09,2024-08-20,satellite_office,cohort_a
EMP-0287,BND-03,42161.18,USD,annual,2026-01-07,2025-10-14,satellite_office,cohort_b
EMP-0288,BND-43,39221.96,USD,annual,2026-01-23,2025-04-14,satellite_office,cohort_a
EMP-0289,BND-44,45141.59,USD,annual,2026-03-12,2025-11-04,headquarters,cohort_b
EMP-0290,BND-03,39707.00,USD,annual,2026-03-31,2025-10-31,remote,cohort_b
EMP-0291,BND-23,50082.07,USD,annual,2026-03-13,2024-07-09,remote,cohort_b
EMP-0292,BND-03,47201.11,USD,annual,2026-01-22,2025-11-12,headquarters,cohort_a
EMP-0293,BND-43,34278.30,USD,annual,2026-02-20,2025-11-13,satellite_office,cohort_b
EMP-0294,BND-44,42914.22,USD,annual,2026-03-10,2024-05-01,remote,cohort_b
EMP-0295,BND-03,50267.70,USD,annual,2026-01-22,2024-09-09,headquarters,cohort_b
EMP-0296,BND-03,41253.90,USD,annual,2026-04-01,2025-10-21,satellite_office,cohort_b
EMP-0297,BND-43,38228.76,USD,annual,2026-02-19,2025-09-08,headquarters,cohort_a
EMP-0298,BND-43,38980.17,USD,annual,2026-02-02,2025-10-16,satellite_office,cohort_b
EMP-0299,BND-23,51206.19,USD,annual,2026-01-21,2024-09-27,remote,cohort_b
EMP-0300,BND-23,50836.83,USD,annual,2026-02-24,2025-04-22,headquarters,cohort_a
EMP-0301,BND-44,44461.13,USD,annual,2026-01-16,2025-09-04,satellite_office,cohort_b
EMP-0303,BND-23,52415.95,USD,annual,2026-01-30,2024-09-26,satellite_office,cohort_b
EMP-0304,BND-23,64235.23,USD,annual,2026-02-05,2026-01-20,satellite_office,cohort_a
