request_id,request_date,category,priority,handler_tier
SSP-0048,2026-03-07,Contract template request,P3,Tier 2 - Paralegal
SSP-0127,2026-03-07,Contract template request,P2,Tier 3 - Attorney
SSP-0143,2026-03-07,Certificate of insurance,P3,Tier 2 - Paralegal
SSP-0146,2026-03-07,Signature routing,P3,Tier 2 - Paralegal
SSP-0008,2026-03-08,Other,P4,Tier 1 - Self-Service Bot
SSP-0085,2026-03-08,Password reset,P3,Tier 2 - Paralegal
SSP-0101,2026-03-08,Signature routing,P3,Tier 2 - Paralegal
SSP-0107,2026-03-08,Other,P3,Tier 2 - Paralegal
SSP-0095,2026-03-09,Policy question,P3,Tier 2 - Paralegal
SSP-0099,2026-03-09,NDA self-serve,P4,Tier 1 - Self-Service Bot
SSP-0135,2026-03-09,Password reset,P4,Tier 1 - Self-Service Bot
SSP-0144,2026-03-09,Other,P3,Tier 2 - Paralegal
SSP-0038,2026-03-10,Signature routing,P4,Tier 1 - Self-Service Bot
SSP-0045,2026-03-10,Contract template request,P3,Tier 2 - Paralegal
SSP-0064,2026-03-10,NDA self-serve,P4,Tier 1 - Self-Service Bot
SSP-0088,2026-03-10,Vendor intake,P2,Tier 3 - Attorney
SSP-0120,2026-03-10,NDA self-serve,P3,Tier 2 - Paralegal
SSP-0142,2026-03-10,Password reset,P4,Tier 1 - Self-Service Bot
SSP-0009,2026-03-11,Certificate of insurance,P1,Tier 4 - Senior Counsel
SSP-0018,2026-03-11,NDA self-serve,P4,Tier 1 - Self-Service Bot
SSP-0024,2026-03-11,Policy question,P2,Tier 3 - Attorney
SSP-0080,2026-03-11,Contract template request,P3,Tier 2 - Paralegal
SSP-0091,2026-03-11,Password reset,P3,Tier 2 - Paralegal
SSP-0002,2026-03-12,Certificate of insurance,P3,Tier 2 - Paralegal
SSP-0040,2026-03-12,Certificate of insurance,P4,Tier 1 - Self-Service Bot
SSP-0072,2026-03-12,Signature routing,P4,Tier 1 - Self-Service Bot
SSP-0076,2026-03-12,Policy question,P3,Tier 2 - Paralegal
SSP-0082,2026-03-12,Contract template request,P2,Tier 3 - Attorney
SSP-0098,2026-03-12,Signature routing,P3,Tier 2 - Paralegal
SSP-0102,2026-03-12,Certificate of insurance,P4,Tier 1 - Self-Service Bot
SSP-0104,2026-03-12,Vendor intake,P3,Tier 2 - Paralegal
SSP-0003,2026-03-13,Other,P4,Tier 1 - Self-Service Bot
SSP-0011,2026-03-13,Vendor intake,P4,Tier 1 - Self-Service Bot
SSP-0050,2026-03-13,Policy question,P4,Tier 1 - Self-Service Bot
SSP-0055,2026-03-13,Vendor intake,P3,Tier 2 - Paralegal
SSP-0059,2026-03-13,Contract template request,P3,Tier 2 - Paralegal
SSP-0062,2026-03-13,Policy question,P4,Tier 1 - Self-Service Bot
SSP-0070,2026-03-13,Contract template request,P4,Tier 1 - Self-Service Bot
SSP-0110,2026-03-13,Vendor intake,P2,Tier 3 - Attorney
SSP-0128,2026-03-13,NDA self-serve,P4,Tier 1 - Self-Service Bot
SSP-0138,2026-03-13,NDA self-serve,P4,Tier 1 - Self-Service Bot
SSP-0023,2026-03-14,Contract template request,P2,Tier 3 - Attorney
SSP-0025,2026-03-14,Contract template request,P4,Tier 1 - Self-Service Bot
SSP-0068,2026-03-14,Signature routing,P4,Tier 1 - Self-Service Bot
SSP-0123,2026-03-14,Password reset,P4,Tier 1 - Self-Service Bot
