customer_canon_id,customer_name,document_type,document_number,document_date,due_date,terms,original_amount,open_balance,currency,days_past_due,aging_bucket,applied_to_document,ar_owner_employee_id
co-140,Bramblecourt Analytics,invoice,INV-2025-0821,2025-11-27,2025-12-27,net_30,50214.84,50214.84,USD,94,90+,,EMP-0472
co-140,Bramblecourt Analytics,invoice,INV-2025-0839,2025-12-17,2026-01-01,net_15,47978.38,47978.38,USD,89,61-90,,EMP-0472
co-140,Bramblecourt Analytics,invoice,INV-2026-0101,2026-01-01,2026-01-16,net_15,65589.16,65589.16,USD,74,61-90,,EMP-0472
co-140,Bramblecourt Analytics,invoice,INV-2026-0120,2026-01-26,2026-03-27,net_60,92445.33,92445.33,USD,4,1-30,,EMP-0472
co-140,Bramblecourt Analytics,invoice,INV-2026-0206,2026-02-09,2026-03-11,net_30,70747.54,70747.54,USD,20,1-30,,EMP-0472
co-140,Bramblecourt Analytics,invoice,INV-2026-0513,2026-03-16,2026-03-31,net_15,110994.81,110994.81,USD,0,current,,EMP-0472
co-140,Bramblecourt Analytics,invoice,INV-2026-0515,2026-03-18,2026-04-17,net_30,12432.76,12432.76,USD,0,current,,EMP-0472
co-140,Bramblecourt Analytics,invoice,INV-2026-0529,2026-03-24,2026-05-08,net_45,62898.14,62898.14,USD,0,current,,EMP-0472
co-140,Bramblecourt Analytics,invoice,INV-2026-0533,2026-03-25,2026-04-09,net_15,44349.03,27669.36,USD,0,current,,EMP-0472
co-142,Cinderbrook LLC,invoice,INV-2026-0110,2026-01-11,2026-02-10,net_30,2821.56,2821.56,USD,49,31-60,,EMP-0479
co-142,Cinderbrook LLC,invoice,INV-2026-0123,2026-01-28,2026-03-29,net_60,35696.23,12061.76,USD,2,1-30,,EMP-0479
co-142,Cinderbrook LLC,invoice,INV-2026-0214,2026-02-18,2026-04-19,net_60,4577.51,4577.51,USD,0,current,,EMP-0479
co-142,Cinderbrook LLC,invoice,INV-2026-0219,2026-02-25,2026-03-27,net_30,38462.36,38462.36,USD,4,1-30,,EMP-0479
co-142,Cinderbrook LLC,invoice,INV-2026-0221,2026-02-27,2026-03-14,net_15,41533.76,41533.76,USD,17,1-30,,EMP-0479
co-142,Cinderbrook LLC,invoice,INV-2026-0222,2026-02-27,2026-03-29,net_30,4456.60,4456.60,USD,2,1-30,,EMP-0479
co-142,Cinderbrook LLC,invoice,INV-2026-0536,2026-03-29,2026-04-13,net_15,21681.82,14242.79,USD,0,current,,EMP-0479
co-142,Cinderbrook LLC,invoice,INV-2026-0537,2026-03-30,2026-04-14,net_15,23432.42,23432.42,USD,0,current,,EMP-0479
co-142,Cinderbrook LLC,invoice,INV-2026-0539,2026-03-31,2026-04-15,net_15,31304.94,23835.58,USD,0,current,,EMP-0479
co-143,Amberline Holdings,invoice,INV-2025-0802,2025-11-14,2025-12-29,net_45,4807.98,4807.98,USD,92,90+,,EMP-0472
co-143,Amberline Holdings,invoice,INV-2025-0819,2025-11-26,2026-01-25,net_60,4665.12,4665.12,USD,65,61-90,,EMP-0472
co-143,Amberline Holdings,invoice,INV-2025-0830,2025-12-06,2026-02-04,net_60,8289.54,8289.54,USD,55,31-60,,EMP-0472
co-143,Amberline Holdings,invoice,INV-2025-0847,2025-12-27,2026-02-10,net_45,7238.66,7238.66,USD,49,31-60,,EMP-0472
co-143,Amberline Holdings,invoice,INV-2026-0103,2026-01-03,2026-03-04,net_60,4376.45,4376.45,USD,27,1-30,,EMP-0472
co-143,Amberline Holdings,invoice,INV-2026-0118,2026-01-25,2026-03-11,net_45,7736.82,7736.82,USD,20,1-30,,EMP-0472
co-143,Amberline Holdings,credit_memo,CM-2026-0005,2026-02-28,2026-04-14,net_45,-654.14,-654.14,USD,0,current,INV-2025-0802,EMP-0472
co-143,Amberline Holdings,invoice,INV-2026-0501,2026-03-01,2026-03-31,net_30,972.94,972.94,USD,0,current,,EMP-0472
co-143,Amberline Holdings,invoice,INV-2026-0509,2026-03-08,2026-05-07,net_60,3384.34,1288.08,USD,0,current,,EMP-0472
co-143,Amberline Holdings,invoice,INV-2026-0527,2026-03-23,2026-05-07,net_45,8575.37,8575.37,USD,0,current,,EMP-0472
co-144,Foxglove Partners,invoice,INV-2025-0807,2025-11-15,2025-12-30,net_45,5808.71,5808.71,USD,91,90+,,EMP-0479
co-144,Foxglove Partners,invoice,INV-2025-0833,2025-12-11,2026-01-10,net_30,1487.83,1081.21,USD,80,61-90,,EMP-0479
co-144,Foxglove Partners,invoice,INV-2025-0835,2025-12-15,2026-01-29,net_45,2694.69,1886.82,USD,61,61-90,,EMP-0479
co-144,Foxglove Partners,invoice,INV-2026-0108,2026-01-08,2026-03-09,net_60,4267.08,4267.08,USD,22,1-30,,EMP-0479
co-144,Foxglove Partners,invoice,INV-2026-0115,2026-01-19,2026-03-05,net_45,6826.75,6826.75,USD,26,1-30,,EMP-0479
co-144,Foxglove Partners,invoice,INV-2026-0121,2026-01-27,2026-03-13,net_45,695.78,695.78,USD,18,1-30,,EMP-0479
co-144,Foxglove Partners,invoice,INV-2026-0212,2026-02-16,2026-03-03,net_15,8244.85,8244.85,USD,28,1-30,,EMP-0479
co-144,Foxglove Partners,invoice,INV-2026-0217,2026-02-24,2026-03-11,net_15,1798.54,1798.54,USD,20,1-30,,EMP-0479
co-144,Foxglove Partners,invoice,INV-2026-0540,2026-03-31,2026-04-15,net_15,5996.09,2572.92,USD,0,current,,EMP-0479
co-145,Thornwick Partners,invoice,INV-2025-0814,2025-11-21,2025-12-21,net_30,40581.50,40581.50,USD,100,90+,,EMP-0472
co-145,Thornwick Partners,invoice,INV-2025-0834,2025-12-12,2025-12-27,net_15,18064.95,18064.95,USD,94,90+,,EMP-0472
co-145,Thornwick Partners,invoice,INV-2026-0117,2026-01-24,2026-02-23,net_30,23115.02,23115.02,USD,36,31-60,,EMP-0472
co-145,Thornwick Partners,invoice,INV-2026-0124,2026-01-28,2026-03-14,net_45,37316.77,27827.12,USD,17,1-30,,EMP-0472
co-145,Thornwick Partners,invoice,INV-2026-0126,2026-01-29,2026-02-13,net_15,13747.70,13747.70,USD,46,31-60,,EMP-0472
co-145,Thornwick Partners,invoice,INV-2026-0514,2026-03-17,2026-04-01,net_15,10412.98,10412.98,USD,0,current,,EMP-0472
co-145,Thornwick Partners,invoice,INV-2026-0524,2026-03-22,2026-05-06,net_45,3683.09,3683.09,USD,0,current,,EMP-0472
co-147,Sagebrook LLC,invoice,INV-2025-0808,2025-11-15,2025-12-15,net_30,684.93,684.93,USD,106,90+,,EMP-0479
co-147,Sagebrook LLC,invoice,INV-2025-0816,2025-11-22,2025-12-22,net_30,8943.04,3944.77,USD,99,90+,,EMP-0479
co-147,Sagebrook LLC,invoice,INV-2025-0842,2025-12-18,2026-01-02,net_15,2682.90,2682.90,USD,88,61-90,,EMP-0479
co-147,Sagebrook LLC,invoice,INV-2025-0849,2025-12-28,2026-01-12,net_15,4264.90,2373.84,USD,78,61-90,,EMP-0479
co-147,Sagebrook LLC,invoice,INV-2026-0113,2026-01-16,2026-01-31,net_15,7909.80,7909.80,USD,59,31-60,,EMP-0479
co-147,Sagebrook LLC,invoice,INV-2026-0207,2026-02-12,2026-03-14,net_30,6545.76,2887.99,USD,17,1-30,,EMP-0479
co-147,Sagebrook LLC,invoice,INV-2026-0210,2026-02-14,2026-03-31,net_45,5952.94,5952.94,USD,0,current,,EMP-0479
co-147,Sagebrook LLC,invoice,INV-2026-0220,2026-02-26,2026-04-12,net_45,2890.30,1665.68,USD,0,current,,EMP-0479
co-149,Wrenhaven Group,invoice,INV-2025-0809,2025-11-15,2025-12-30,net_45,4731.39,4731.39,USD,91,90+,,EMP-0472
co-149,Wrenhaven Group,invoice,INV-2025-0824,2025-12-01,2025-12-31,net_30,3734.19,3734.19,USD,90,61-90,,EMP-0472
co-149,Wrenhaven Group,invoice,INV-2026-0106,2026-01-05,2026-01-20,net_15,947.06,947.06,USD,70,61-90,,EMP-0472
co-149,Wrenhaven Group,invoice,INV-2026-0218,2026-02-24,2026-03-26,net_30,2521.07,2521.07,USD,5,1-30,,EMP-0472
co-149,Wrenhaven Group,invoice,INV-2026-0510,2026-03-11,2026-04-10,net_30,1435.65,1435.65,USD,0,current,,EMP-0472
co-149,Wrenhaven Group,invoice,INV-2026-0516,2026-03-18,2026-05-02,net_45,6972.56,6972.56,USD,0,current,,EMP-0472
co-149,Wrenhaven Group,invoice,INV-2026-0517,2026-03-19,2026-05-18,net_60,2559.52,2559.52,USD,0,current,,EMP-0472
co-150,Elmstead Holdings,invoice,INV-2025-0803,2025-11-14,2025-12-29,net_45,24003.24,24003.24,USD,92,90+,,EMP-0479
co-150,Elmstead Holdings,credit_memo,CM-2026-0001,2025-12-20,2026-02-18,net_60,-6622.76,-6622.76,USD,41,31-60,INV-2025-0803,EMP-0479
co-150,Elmstead Holdings,invoice,INV-2025-0850,2025-12-28,2026-02-11,net_45,42215.00,42215.00,USD,48,31-60,,EMP-0479
co-150,Elmstead Holdings,invoice,INV-2026-0204,2026-02-06,2026-04-07,net_60,21874.36,21874.36,USD,0,current,,EMP-0479
co-150,Elmstead Holdings,invoice,INV-2026-0505,2026-03-04,2026-03-19,net_15,11346.55,11346.55,USD,12,1-30,,EMP-0479
co-150,Elmstead Holdings,invoice,INV-2026-0521,2026-03-21,2026-04-20,net_30,21540.47,21540.47,USD,0,current,,EMP-0479
co-150,Elmstead Holdings,invoice,INV-2026-0530,2026-03-24,2026-04-08,net_15,23541.15,13559.70,USD,0,current,,EMP-0479
co-151,Copperfen Partners,invoice,INV-2025-0804,2025-11-14,2025-12-29,net_45,19590.72,19590.72,USD,92,90+,,EMP-0472
co-151,Copperfen Partners,invoice,INV-2025-0822,2025-11-29,2026-01-28,net_60,31440.16,11123.53,USD,62,61-90,,EMP-0472
co-151,Copperfen Partners,invoice,INV-2025-0829,2025-12-05,2025-12-20,net_15,10625.68,10625.68,USD,101,90+,,EMP-0472
co-151,Copperfen Partners,invoice,INV-2025-0837,2025-12-16,2026-01-15,net_30,17770.27,17770.27,USD,75,61-90,,EMP-0472
co-151,Copperfen Partners,invoice,INV-2026-0104,2026-01-04,2026-03-05,net_60,26142.60,26142.60,USD,26,1-30,,EMP-0472
co-151,Copperfen Partners,invoice,INV-2026-0128,2026-01-31,2026-03-17,net_45,23906.59,23906.59,USD,14,1-30,,EMP-0472
co-151,Copperfen Partners,invoice,INV-2026-0531,2026-03-24,2026-05-23,net_60,42764.74,42764.74,USD,0,current,,EMP-0472
co-153,Silverdale Analytics,invoice,INV-2025-0810,2025-11-15,2025-12-30,net_45,51807.20,30172.51,USD,91,90+,,EMP-0479
co-153,Silverdale Analytics,invoice,INV-2025-0815,2025-11-21,2025-12-06,net_15,81372.34,81372.34,USD,115,90+,,EMP-0479
co-153,Silverdale Analytics,invoice,INV-2026-0122,2026-01-27,2026-02-26,net_30,92153.09,92153.09,USD,33,31-60,,EMP-0479
co-153,Silverdale Analytics,credit_memo,CM-2026-0002,2026-02-07,2026-02-22,net_15,-18697.67,-18697.67,USD,37,31-60,INV-2025-0810,EMP-0479
co-153,Silverdale Analytics,invoice,INV-2026-0208,2026-02-12,2026-03-29,net_45,32015.95,32015.95,USD,2,1-30,,EMP-0479
co-153,Silverdale Analytics,invoice,INV-2026-0216,2026-02-23,2026-03-25,net_30,85324.99,85324.99,USD,6,1-30,,EMP-0479
co-153,Silverdale Analytics,invoice,INV-2026-0511,2026-03-14,2026-04-28,net_45,26644.31,26644.31,USD,0,current,,EMP-0479
co-153,Silverdale Analytics,invoice,INV-2026-0522,2026-03-21,2026-04-05,net_15,79489.46,79489.46,USD,0,current,,EMP-0479
co-153,Silverdale Analytics,invoice,INV-2026-0528,2026-03-23,2026-04-07,net_15,105362.12,44125.66,USD,0,current,,EMP-0479
co-154,Windrow Holdings,invoice,INV-2026-0109,2026-01-09,2026-03-10,net_60,8421.03,8421.03,USD,21,1-30,,EMP-0472
co-154,Windrow Holdings,invoice,INV-2026-0114,2026-01-17,2026-02-16,net_30,8709.69,8709.69,USD,43,31-60,,EMP-0472
co-154,Windrow Holdings,invoice,INV-2026-0116,2026-01-20,2026-03-21,net_60,3498.12,3498.12,USD,10,1-30,,EMP-0472
co-154,Windrow Holdings,invoice,INV-2026-0129,2026-01-31,2026-04-01,net_60,7089.97,7089.97,USD,0,current,,EMP-0472
co-154,Windrow Holdings,invoice,INV-2026-0201,2026-02-01,2026-02-16,net_15,3437.32,3437.32,USD,43,31-60,,EMP-0472
co-154,Windrow Holdings,invoice,INV-2026-0523,2026-03-21,2026-04-05,net_15,6138.22,2584.80,USD,0,current,,EMP-0472
co-155,Hazelmere Analytics,invoice,INV-2025-0818,2025-11-25,2026-01-24,net_60,1779.24,1779.24,USD,66,61-90,,EMP-0479
co-155,Hazelmere Analytics,invoice,INV-2025-0820,2025-11-26,2026-01-25,net_60,8391.36,8391.36,USD,65,61-90,,EMP-0479
co-155,Hazelmere Analytics,invoice,INV-2026-0112,2026-01-14,2026-01-29,net_15,6862.14,4979.17,USD,61,61-90,,EMP-0479
co-155,Hazelmere Analytics,invoice,INV-2026-0127,2026-01-30,2026-02-14,net_15,4554.22,4554.22,USD,45,31-60,,EMP-0479
co-155,Hazelmere Analytics,invoice,INV-2026-0205,2026-02-08,2026-03-25,net_45,3099.38,3099.38,USD,6,1-30,,EMP-0479
co-155,Hazelmere Analytics,invoice,INV-2026-0518,2026-03-19,2026-04-03,net_15,6327.55,6327.55,USD,0,current,,EMP-0479
co-155,Hazelmere Analytics,invoice,INV-2026-0520,2026-03-20,2026-04-04,net_15,6607.92,6607.92,USD,0,current,,EMP-0479
co-160,Gladewick LLC,invoice,INV-2025-0811,2025-11-15,2026-01-14,net_60,35890.25,35890.25,USD,76,61-90,,EMP-0472
co-160,Gladewick LLC,invoice,INV-2025-0823,2025-11-29,2025-12-14,net_15,43767.02,43767.02,USD,107,90+,,EMP-0472
co-160,Gladewick LLC,invoice,INV-2026-0102,2026-01-02,2026-02-16,net_45,32861.36,32861.36,USD,43,31-60,,EMP-0472
co-160,Gladewick LLC,invoice,INV-2026-0209,2026-02-13,2026-03-30,net_45,10348.08,10348.08,USD,1,1-30,,EMP-0472
co-160,Gladewick LLC,invoice,INV-2026-0508,2026-03-05,2026-03-20,net_15,42935.49,42935.49,USD,11,1-30,,EMP-0472
co-160,Gladewick LLC,invoice,INV-2026-0534,2026-03-25,2026-05-09,net_45,7329.22,7329.22,USD,0,current,,EMP-0472
co-161,Holloway Vale Partners,invoice,INV-2025-0817,2025-11-23,2026-01-22,net_60,44382.11,44382.11,USD,68,61-90,,EMP-0479
co-161,Holloway Vale Partners,invoice,INV-2025-0826,2025-12-03,2026-01-02,net_30,23108.01,23108.01,USD,88,61-90,,EMP-0479
co-161,Holloway Vale Partners,invoice,INV-2025-0828,2025-12-04,2025-12-19,net_15,9440.83,9440.83,USD,102,90+,,EMP-0479
co-161,Holloway Vale Partners,invoice,INV-2025-0836,2025-12-15,2025-12-30,net_15,32004.97,32004.97,USD,91,90+,,EMP-0479
co-161,Holloway Vale Partners,invoice,INV-2025-0838,2025-12-16,2026-02-14,net_60,29803.05,29803.05,USD,45,31-60,,EMP-0479
co-161,Holloway Vale Partners,invoice,INV-2026-0107,2026-01-05,2026-02-19,net_45,40730.08,24723.16,USD,40,31-60,,EMP-0479
co-164,Kettlebrook Partners,invoice,INV-2025-0805,2025-11-14,2025-12-29,net_45,27267.68,12177.75,USD,92,90+,,EMP-0472
co-164,Kettlebrook Partners,invoice,INV-2026-0105,2026-01-04,2026-02-03,net_30,65007.55,65007.55,USD,56,31-60,,EMP-0472
co-164,Kettlebrook Partners,invoice,INV-2026-0111,2026-01-11,2026-03-12,net_60,68474.70,68474.70,USD,19,1-30,,EMP-0472
co-164,Kettlebrook Partners,invoice,INV-2026-0119,2026-01-25,2026-02-24,net_30,53061.45,53061.45,USD,35,31-60,,EMP-0472
co-164,Kettlebrook Partners,invoice,INV-2026-0125,2026-01-28,2026-02-27,net_30,54984.47,54984.47,USD,32,31-60,,EMP-0472
co-164,Kettlebrook Partners,invoice,INV-2026-0525,2026-03-22,2026-04-06,net_15,90799.92,90799.92,USD,0,current,,EMP-0472
co-164,Kettlebrook Partners,invoice,INV-2026-0526,2026-03-22,2026-04-06,net_15,52432.40,52432.40,USD,0,current,,EMP-0472
co-164,Kettlebrook Partners,invoice,INV-2026-0535,2026-03-26,2026-04-10,net_15,17446.72,17446.72,USD,0,current,,EMP-0472
co-165,Bramblecourt LLC,invoice,INV-2025-0812,2025-11-16,2025-12-31,net_45,8311.26,8311.26,USD,90,61-90,,EMP-0479
co-165,Bramblecourt LLC,invoice,INV-2025-0825,2025-12-02,2026-01-01,net_30,2391.11,2391.11,USD,89,61-90,,EMP-0479
co-165,Bramblecourt LLC,invoice,INV-2025-0846,2025-12-25,2026-01-24,net_30,8829.41,3727.78,USD,66,61-90,,EMP-0479
co-165,Bramblecourt LLC,invoice,INV-2026-0211,2026-02-14,2026-03-01,net_15,2143.26,2143.26,USD,30,1-30,,EMP-0479
co-165,Bramblecourt LLC,invoice,INV-2026-0215,2026-02-19,2026-04-05,net_45,4916.46,4916.46,USD,0,current,,EMP-0479
co-165,Bramblecourt LLC,invoice,INV-2026-0223,2026-02-27,2026-03-29,net_30,3969.02,3969.02,USD,2,1-30,,EMP-0479
co-165,Bramblecourt LLC,invoice,INV-2026-0502,2026-03-01,2026-04-30,net_60,3509.18,1845.13,USD,0,current,,EMP-0479
co-165,Bramblecourt LLC,invoice,INV-2026-0519,2026-03-19,2026-04-03,net_15,8846.88,8846.88,USD,0,current,,EMP-0479
co-166,Northfield Group,invoice,INV-2025-0806,2025-11-14,2025-12-29,net_45,3487.64,3487.64,USD,92,90+,,EMP-0472
co-166,Northfield Group,invoice,INV-2025-0813,2025-11-16,2025-12-31,net_45,3204.88,3204.88,USD,90,61-90,,EMP-0472
co-166,Northfield Group,invoice,INV-2025-0827,2025-12-03,2026-01-02,net_30,7349.97,4514.35,USD,88,61-90,,EMP-0472
co-166,Northfield Group,invoice,INV-2025-0831,2025-12-06,2026-01-20,net_45,8122.41,8122.41,USD,70,61-90,,EMP-0472
co-166,Northfield Group,invoice,INV-2025-0848,2025-12-27,2026-01-26,net_30,7060.70,7060.70,USD,64,61-90,,EMP-0472
co-166,Northfield Group,invoice,INV-2026-0202,2026-02-02,2026-03-19,net_45,789.29,789.29,USD,12,1-30,,EMP-0472
co-166,Northfield Group,credit_memo,CM-2026-0004,2026-02-22,2026-04-08,net_45,-540.06,-540.06,USD,0,current,INV-2025-0806,EMP-0472
