employee_id,work_location,work_state,work_locality
EMP-0168,headquarters,US-DE,
EMP-0169,satellite_office,US-CO,
EMP-0170,headquarters,US-DE,
EMP-0171,remote,US-CA,
EMP-0172,remote,US-CA,
EMP-0173,headquarters,US-DE,
EMP-0174,headquarters,US-DE,
EMP-0175,remote,US-NY,US-NY-NYC
EMP-0176,headquarters,US-DE,
EMP-0177,remote,US-NY,
EMP-0178,remote,US-IL,
EMP-0179,remote,US-IL,
EMP-0180,satellite_office,US-CO,
EMP-0181,remote,US-IL,
EMP-0182,headquarters,US-DE,
EMP-0183,satellite_office,US-CO,
EMP-0184,headquarters,US-DE,
EMP-0185,headquarters,US-DE,
EMP-0186,remote,US-CA,
EMP-0187,satellite_office,US-CO,
EMP-0188,satellite_office,US-CO,
EMP-0189,remote,US-DE,
EMP-0190,remote,US-NY,US-NY-NYC
EMP-0191,remote,US-NY,US-NY-NYC
EMP-0192,remote,US-DE,
EMP-0193,headquarters,US-DE,
EMP-0194,remote,US-IL,
EMP-0195,remote,US-NY,
EMP-0196,headquarters,US-DE,
EMP-0197,remote,US-CA,
EMP-0199,satellite_office,US-CO,
EMP-0200,satellite_office,US-CO,
EMP-0201,satellite_office,US-CO,
EMP-0202,remote,US-NY,
EMP-0203,headquarters,US-DE,
EMP-0204,remote,US-DE,
EMP-0205,remote,US-CO,
EMP-0206,remote,US-CA,
EMP-0207,satellite_office,US-CO,
EMP-0208,headquarters,US-DE,
EMP-0209,remote,US-NY,US-NY-NYC
EMP-0210,remote,US-IL,
EMP-0211,remote,US-CO,
EMP-0212,headquarters,US-DE,
EMP-0213,headquarters,US-DE,
EMP-0214,remote,US-CA,
EMP-0215,satellite_office,US-CO,
EMP-0216,remote,US-CA,
EMP-0217,remote,US-IL,
EMP-0218,headquarters,US-DE,
EMP-0219,remote,US-CA,
EMP-0220,satellite_office,US-CO,
EMP-0221,remote,US-IL,
EMP-0222,remote,US-CA,
EMP-0223,headquarters,US-DE,
EMP-0224,satellite_office,US-CO,
EMP-0225,remote,US-NY,US-NY-NYC
EMP-0226,headquarters,US-DE,
EMP-0227,satellite_office,US-CO,
EMP-0228,remote,US-IL,
EMP-0229,remote,US-CA,
EMP-0230,remote,US-CA,
EMP-0231,remote,US-DE,
EMP-0232,remote,US-DE,
EMP-0233,satellite_office,US-CO,
EMP-0234,headquarters,US-DE,
EMP-0235,headquarters,US-DE,
EMP-0236,headquarters,US-DE,
EMP-0237,remote,US-NY,US-NY-NYC
EMP-0238,headquarters,US-DE,
EMP-0239,remote,US-IL,
EMP-0240,remote,US-CA,
EMP-0241,remote,US-IL,
EMP-0242,satellite_office,US-CO,
EMP-0243,headquarters,US-DE,
EMP-0244,remote,US-CA,
EMP-0245,remote,US-CA,
EMP-0246,remote,US-NY,US-NY-NYC
EMP-0247,remote,US-NY,US-NY-NYC
EMP-0248,headquarters,US-DE,
EMP-0249,satellite_office,US-CO,
EMP-0250,remote,US-IL,
EMP-0251,remote,US-CO,
EMP-0252,headquarters,US-DE,
EMP-0253,remote,US-NY,US-NY-NYC
EMP-0254,remote,US-CA,
EMP-0255,remote,US-CO,
EMP-0256,remote,US-IL,
EMP-0257,remote,US-NY,
EMP-0258,headquarters,US-DE,
EMP-0259,remote,US-CO,
EMP-0260,headquarters,US-DE,
EMP-0261,headquarters,US-DE,
EMP-0262,remote,US-IL,
EMP-0263,remote,US-IL,
EMP-0264,headquarters,US-DE,
EMP-0265,remote,US-IL,
EMP-0266,satellite_office,US-CO,
EMP-0267,remote,US-CA,
EMP-0268,headquarters,US-DE,
EMP-0269,headquarters,US-DE,
EMP-0270,headquarters,US-DE,
EMP-0271,remote,US-CA,
EMP-0272,headquarters,US-DE,
EMP-0273,remote,US-DE,
EMP-0274,headquarters,US-DE,
EMP-0275,headquarters,US-DE,
EMP-0276,headquarters,US-DE,
EMP-0277,satellite_office,US-CO,
EMP-0278,satellite_office,US-CO,
EMP-0280,satellite_office,US-CO,
EMP-0281,headquarters,US-DE,
EMP-0282,remote,US-DE,
EMP-0283,remote,US-DE,
EMP-0284,remote,US-CO,
EMP-0285,satellite_office,US-CO,
EMP-0286,satellite_office,US-CO,
EMP-0287,satellite_office,US-CO,
EMP-0288,satellite_office,US-CO,
EMP-0289,headquarters,US-DE,
EMP-0290,remote,US-CA,
EMP-0291,remote,US-NY,
EMP-0292,headquarters,US-DE,
EMP-0293,satellite_office,US-CO,
EMP-0294,remote,US-NY,US-NY-NYC
EMP-0295,headquarters,US-DE,
EMP-0296,satellite_office,US-CO,
EMP-0297,headquarters,US-DE,
EMP-0298,satellite_office,US-CO,
EMP-0299,remote,US-CA,
EMP-0300,headquarters,US-DE,
EMP-0301,satellite_office,US-CO,
EMP-0303,satellite_office,US-CO,
EMP-0304,satellite_office,US-CO,
EMP-0305,headquarters,US-DE,
EMP-0306,remote,US-NY,US-NY-NYC
EMP-0307,headquarters,US-DE,
EMP-0308,satellite_office,US-CO,
EMP-0309,headquarters,US-DE,
EMP-0310,headquarters,US-DE,
EMP-0311,headquarters,US-DE,
EMP-0312,headquarters,US-DE,
EMP-0313,remote,US-CA,
EMP-0314,headquarters,US-DE,
EMP-0315,satellite_office,US-CO,
EMP-0316,remote,US-NY,US-NY-NYC
EMP-0317,remote,US-CA,
EMP-0318,remote,US-NY,
EMP-0319,remote,US-CO,
EMP-0320,satellite_office,US-CO,
EMP-0321,remote,US-DE,
EMP-0322,headquarters,US-DE,
EMP-0323,remote,US-IL,
EMP-0324,remote,US-NY,US-NY-NYC
EMP-0325,headquarters,US-DE,
EMP-0326,remote,US-CA,
EMP-0327,remote,US-CA,
EMP-0328,remote,US-IL,
EMP-0329,headquarters,US-DE,
EMP-0330,headquarters,US-DE,
EMP-0331,headquarters,US-DE,
EMP-0332,headquarters,US-DE,
EMP-0333,remote,US-CA,
EMP-0334,headquarters,US-DE,
EMP-0335,remote,US-CA,
EMP-0336,remote,US-CA,
EMP-0337,headquarters,US-DE,
EMP-0338,remote,US-NY,US-NY-NYC
EMP-0339,remote,US-CA,
EMP-0340,remote,US-NY,
EMP-0341,remote,US-CO,
EMP-0342,headquarters,US-DE,
EMP-0343,remote,US-NY,US-NY-NYC
EMP-0344,remote,US-NY,US-NY-NYC
EMP-0345,remote,US-DE,
EMP-0346,headquarters,US-DE,
EMP-0347,remote,US-IL,
EMP-0348,headquarters,US-DE,
EMP-0349,headquarters,US-DE,
EMP-0350,satellite_office,US-CO,
EMP-0351,remote,US-CO,
EMP-0352,headquarters,US-DE,
EMP-0353,satellite_office,US-CO,
EMP-0354,remote,US-NY,US-NY-NYC
EMP-0355,headquarters,US-DE,
EMP-0356,headquarters,US-DE,
EMP-0357,satellite_office,US-CO,
EMP-0358,headquarters,US-DE,
EMP-0359,remote,US-CO,
EMP-0360,headquarters,US-DE,
EMP-0361,remote,US-IL,
EMP-0362,headquarters,US-DE,
EMP-0363,remote,US-NY,
EMP-0364,satellite_office,US-CO,
EMP-0365,remote,US-NY,US-NY-NYC
EMP-0366,satellite_office,US-CO,
EMP-0367,remote,US-NY,
EMP-0368,headquarters,US-DE,
EMP-0369,remote,US-CO,
EMP-0370,headquarters,US-DE,
EMP-0371,satellite_office,US-CO,
EMP-0372,remote,US-NY,US-NY-NYC
EMP-0373,remote,US-NY,US-NY-NYC
EMP-0374,headquarters,US-DE,
EMP-0375,remote,US-NY,US-NY-NYC
EMP-0376,satellite_office,US-CO,
EMP-0377,satellite_office,US-CO,
EMP-0378,headquarters,US-DE,
EMP-0379,satellite_office,US-CO,
EMP-0380,satellite_office,US-CO,
EMP-0381,headquarters,US-DE,
EMP-0382,satellite_office,US-CO,
EMP-0383,headquarters,US-DE,
EMP-0384,headquarters,US-DE,
EMP-0385,headquarters,US-DE,
EMP-0386,remote,US-IL,
EMP-0387,remote,US-DE,
EMP-0388,headquarters,US-DE,
EMP-0389,remote,US-DE,
EMP-0390,remote,US-CA,
EMP-0391,remote,US-CA,
EMP-0392,headquarters,US-DE,
EMP-0393,headquarters,US-DE,
EMP-0394,headquarters,US-DE,
EMP-0395,remote,US-CA,
EMP-0396,headquarters,US-DE,
EMP-0397,satellite_office,US-CO,
EMP-0398,remote,US-NY,
EMP-0399,headquarters,US-DE,
EMP-0400,headquarters,US-DE,
EMP-0401,headquarters,US-DE,
EMP-0402,headquarters,US-DE,
EMP-0404,headquarters,US-DE,
EMP-0405,headquarters,US-DE,
EMP-0406,headquarters,US-DE,
EMP-0407,headquarters,US-DE,
EMP-0408,headquarters,US-DE,
EMP-0409,remote,US-CA,
EMP-0410,headquarters,US-DE,
EMP-0411,headquarters,US-DE,
EMP-0412,headquarters,US-DE,
EMP-0413,headquarters,US-DE,
EMP-0414,remote,US-IL,
EMP-0415,remote,US-CA,
EMP-0416,headquarters,US-DE,
EMP-0417,remote,US-CO,
EMP-0418,remote,US-CA,
EMP-0419,remote,US-NY,US-NY-NYC
EMP-0420,remote,US-CA,
EMP-0421,headquarters,US-DE,
EMP-0422,remote,US-CA,
EMP-0423,headquarters,US-DE,
EMP-0424,headquarters,US-DE,
EMP-0425,remote,US-IL,
EMP-0426,remote,US-IL,
EMP-0427,headquarters,US-DE,
EMP-0428,headquarters,US-DE,
EMP-0429,remote,US-NY,US-NY-NYC
EMP-0430,headquarters,US-DE,
EMP-0431,satellite_office,US-CO,
EMP-0432,headquarters,US-DE,
EMP-0433,remote,US-IL,
EMP-0434,headquarters,US-DE,
EMP-0435,remote,US-CO,
EMP-0436,remote,US-NY,US-NY-NYC
EMP-0437,headquarters,US-DE,
EMP-0438,remote,US-NY,
EMP-0439,remote,US-DE,
EMP-0440,headquarters,US-DE,
EMP-0441,remote,US-CA,
EMP-0442,satellite_office,US-CO,
EMP-0443,remote,US-CO,
EMP-0444,remote,US-NY,
EMP-0445,headquarters,US-DE,
EMP-0446,remote,US-DE,
EMP-0447,remote,US-CA,
EMP-0448,satellite_office,US-CO,
EMP-0449,satellite_office,US-CO,
EMP-0450,headquarters,US-DE,
EMP-0451,remote,US-CO,
EMP-0452,satellite_office,US-CO,
EMP-0453,headquarters,US-DE,
EMP-0454,headquarters,US-DE,
EMP-0455,headquarters,US-DE,
EMP-0456,satellite_office,US-CO,
EMP-0457,headquarters,US-DE,
EMP-0458,remote,US-DE,
EMP-0459,remote,US-DE,
EMP-0460,remote,US-IL,
EMP-0461,remote,US-NY,
EMP-0462,satellite_office,US-CO,
EMP-0463,remote,US-IL,
EMP-0464,remote,US-CO,
EMP-0465,headquarters,US-DE,
EMP-0466,remote,US-CA,
EMP-0467,remote,US-IL,
EMP-0468,remote,US-CA,
EMP-0469,remote,US-IL,
EMP-0470,headquarters,US-DE,
EMP-0471,remote,US-IL,
EMP-0472,satellite_office,US-CO,
EMP-0473,headquarters,US-DE,
EMP-0474,headquarters,US-DE,
EMP-0475,satellite_office,US-CO,
EMP-0476,remote,US-NY,US-NY-NYC
EMP-0477,remote,US-NY,
EMP-0478,headquarters,US-DE,
EMP-0479,remote,US-DE,
EMP-0480,remote,US-CO,
EMP-0481,headquarters,US-DE,
EMP-0482,headquarters,US-DE,
EMP-0483,remote,US-NY,
EMP-0484,headquarters,US-DE,
EMP-0485,headquarters,US-DE,
EMP-0486,remote,US-IL,
EMP-0487,remote,US-CO,
EMP-0488,headquarters,US-DE,
EMP-0489,remote,US-CO,
EMP-0490,headquarters,US-DE,
EMP-0491,headquarters,US-DE,
EMP-0492,remote,US-CA,
EMP-0493,headquarters,US-DE,
EMP-0494,headquarters,US-DE,
EMP-0495,satellite_office,US-CO,
EMP-0496,remote,US-NY,US-NY-NYC
EMP-0497,headquarters,US-DE,
EMP-0498,headquarters,US-DE,
EMP-0499,remote,US-IL,
EMP-0500,remote,US-CO,
EMP-0501,remote,US-IL,
EMP-0502,satellite_office,US-CO,
EMP-0503,headquarters,US-DE,
EMP-0504,headquarters,US-DE,
EMP-0506,remote,US-IL,
EMP-0507,remote,US-DE,
EMP-0508,satellite_office,US-CO,
EMP-0509,satellite_office,US-CO,
EMP-0510,headquarters,US-DE,
EMP-0511,remote,US-CA,
EMP-0512,remote,US-CA,
EMP-0513,remote,US-NY,US-NY-NYC
EMP-0514,satellite_office,US-CO,
EMP-0515,remote,US-NY,US-NY-NYC
EMP-0516,headquarters,US-DE,
EMP-0517,headquarters,US-DE,
EMP-0518,headquarters,US-DE,
EMP-0519,satellite_office,US-CO,
EMP-0521,headquarters,US-DE,
EMP-0522,headquarters,US-DE,
EMP-0523,headquarters,US-DE,
EMP-0524,remote,US-NY,US-NY-NYC
EMP-0525,remote,US-NY,
EMP-0526,satellite_office,US-CO,
EMP-0527,remote,US-NY,US-NY-NYC
EMP-0528,satellite_office,US-CO,
EMP-0529,headquarters,US-DE,
EMP-0530,headquarters,US-DE,
EMP-0531,remote,US-IL,
EMP-0532,remote,US-IL,
EMP-0533,headquarters,US-DE,
EMP-0534,satellite_office,US-CO,
EMP-0535,satellite_office,US-CO,
EMP-0536,remote,US-CA,
EMP-0537,remote,US-IL,
EMP-0538,headquarters,US-DE,
EMP-0539,remote,US-CA,
EMP-0540,remote,US-DE,
EMP-0541,headquarters,US-DE,
EMP-0542,satellite_office,US-CO,
EMP-0543,headquarters,US-DE,
EMP-0545,remote,US-CA,
EMP-0546,headquarters,US-DE,
EMP-0547,headquarters,US-DE,
EMP-0548,remote,US-IL,
EMP-0549,satellite_office,US-CO,
EMP-0550,headquarters,US-DE,
EMP-0551,satellite_office,US-CO,
EMP-0552,headquarters,US-DE,
EMP-0553,remote,US-DE,
EMP-0554,satellite_office,US-CO,
EMP-0555,remote,US-CA,
EMP-0556,satellite_office,US-CO,
EMP-0557,remote,US-DE,
EMP-0558,satellite_office,US-CO,
EMP-0559,headquarters,US-DE,
EMP-0560,remote,US-NY,US-NY-NYC
EMP-0561,headquarters,US-DE,
EMP-0562,remote,US-IL,
EMP-0563,headquarters,US-DE,
EMP-0564,headquarters,US-DE,
EMP-0565,headquarters,US-DE,
EMP-0566,headquarters,US-DE,
EMP-0567,headquarters,US-DE,
EMP-0568,headquarters,US-DE,
EMP-0569,headquarters,US-DE,
EMP-0570,headquarters,US-DE,
EMP-0571,remote,US-CA,
EMP-0572,remote,US-IL,
EMP-0573,remote,US-NY,
EMP-0574,headquarters,US-DE,
EMP-0575,remote,US-CA,
EMP-0576,remote,US-CA,
EMP-0577,remote,US-NY,US-NY-NYC
EMP-0578,remote,US-CO,
EMP-0579,remote,US-CA,
EMP-0580,remote,US-IL,
EMP-0581,headquarters,US-DE,
EMP-0584,remote,US-NY,US-NY-NYC
EMP-0585,headquarters,US-DE,
EMP-0586,remote,US-NY,
EMP-0587,satellite_office,US-CO,
EMP-0588,remote,US-CA,
EMP-0589,headquarters,US-DE,
EMP-0591,remote,US-NY,
EMP-0592,satellite_office,US-CO,
EMP-0593,remote,US-CO,
EMP-0594,remote,US-CA,
EMP-0595,remote,US-IL,
EMP-0596,headquarters,US-DE,
EMP-0597,satellite_office,US-CO,
EMP-0598,headquarters,US-DE,
EMP-0599,satellite_office,US-CO,
EMP-0600,satellite_office,US-CO,
