txn_id,posted_date,value_date,description,counterparty,reference,type,amount,running_balance,channel
BNK-202603-0054,2026-03-11,2026-03-11,WIRE IN ELMSTEAD HOLDINGS INV-2026-0488,Elmstead Holdings,INV-2026-0488,credit,100586.19,4118040.69,wire
BNK-202603-0055,2026-03-11,2026-03-11,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260311,Anchor Point Bank,SETTLE-20260311,credit,2231.86,4120272.55,card
BNK-202603-0056,2026-03-11,2026-03-11,ACH DEBIT HARROWFEN FACILITIES GROUP AP-2026-0356,Harrowfen Facilities Group,AP-2026-0356,debit,11849.30,4108423.25,ach
BNK-202603-0057,2026-03-11,2026-03-11,ACH DEBIT FALLOWMERE CATERING AP-2026-0357,Fallowmere Catering,AP-2026-0357,debit,14321.62,4094101.63,ach
BNK-202603-0058,2026-03-11,2026-03-11,ACH DEBIT LOAMFIELD POWER COOPERATIVE AP-2026-0365,Loamfield Power Cooperative,AP-2026-0365,debit,3419.47,4090682.16,ach
BNK-202603-0059,2026-03-11,2026-03-11,ACH DEBIT BIRCHCROFT PROPERTIES AP-2026-0372,Birchcroft Properties,AP-2026-0372,debit,34012.30,4056669.86,ach
BNK-202603-0060,2026-03-11,2026-03-11,WIRE OUT WRENFALLOW SECURITY SYSTEMS AP-2026-0382,Wrenfallow Security Systems,AP-2026-0382,debit,57711.45,3998958.41,wire
BNK-202603-0061,2026-03-11,2026-03-11,CHECK 10427,Fallowmere Catering,10427,debit,3593.29,3995365.12,check
BNK-202603-0062,2026-03-11,2026-03-11,OUTGOING WIRE FEE,Anchor Point Bank,WIREFEE-20260311,debit,35.00,3995330.12,fee
BNK-202603-0063,2026-03-12,2026-03-13,ACH CREDIT AMBERLINE HOLDINGS INV-2026-0424,Amberline Holdings,INV-2026-0424,credit,20678.01,4016008.13,ach
BNK-202603-0064,2026-03-12,2026-03-13,ACH CREDIT GLADEWICK LLC INV-2026-0431,Gladewick LLC,INV-2026-0431,credit,27362.67,4043370.80,ach
BNK-202603-0065,2026-03-12,2026-03-12,WIRE IN WRENHAVEN GROUP INV-2026-0474,Wrenhaven Group,INV-2026-0474,credit,125015.05,4168385.85,wire
BNK-202603-0066,2026-03-12,2026-03-12,WIRE IN HAZELMERE ANALYTICS INV-2026-0475,Hazelmere Analytics,INV-2026-0475,credit,190716.24,4359102.09,wire
BNK-202603-0067,2026-03-12,2026-03-12,WIRE IN WINDROW HOLDINGS INV-2026-0479,Windrow Holdings,INV-2026-0479,credit,146665.15,4505767.24,wire
BNK-202603-0068,2026-03-12,2026-03-12,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260312,Anchor Point Bank,SETTLE-20260312,credit,2556.90,4508324.14,card
BNK-202603-0069,2026-03-12,2026-03-12,ACH DEBIT SARROWMERE PRINT WORKS AP-2026-0333,Sarrowmere Print Works,AP-2026-0333,debit,30597.04,4477727.10,ach
BNK-202603-0070,2026-03-12,2026-03-12,ACH DEBIT BRAXMOOR RECRUITING GROUP AP-2026-0374,Braxmoor Recruiting Group,AP-2026-0374,debit,25036.80,4452690.30,ach
BNK-202603-0071,2026-03-12,2026-03-12,CHECK 10433,Birchcroft Properties,10433,debit,5732.56,4446957.74,check
BNK-202603-0072,2026-03-12,2026-03-12,CHECK 10434,Cedarline Office Supply,10434,debit,564.33,4446393.41,check
BNK-202603-0073,2026-03-13,2026-03-16,ACH CREDIT NORTHFIELD GROUP INV-2026-0461,Northfield Group,INV-2026-0461,credit,47475.34,4493868.75,ach
BNK-202603-0074,2026-03-13,2026-03-13,WIRE IN THORNWICK PARTNERS INV-2026-0481,Thornwick Partners,INV-2026-0481,credit,91964.81,4585833.56,wire
BNK-202603-0075,2026-03-13,2026-03-13,WIRE IN COPPERFEN PARTNERS INV-2026-0483,Copperfen Partners,INV-2026-0483,credit,96394.24,4682227.80,wire
BNK-202603-0076,2026-03-13,2026-03-13,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260313,Anchor Point Bank,SETTLE-20260313,credit,5599.11,4687826.91,card
BNK-202603-0077,2026-03-13,2026-03-13,ACH DEBIT KESTRELMOOR STAFFING PARTNERS AP-2026-0343,Kestrelmoor Staffing Partners,AP-2026-0343,debit,3656.02,4684170.89,ach
BNK-202603-0078,2026-03-13,2026-03-13,WIRE OUT FENWHISTLE TRAVEL DESK AP-2026-0381,Fenwhistle Travel Desk,AP-2026-0381,debit,56637.56,4627533.33,wire
BNK-202603-0079,2026-03-13,2026-03-13,TRANSFER TO PAYROLL ACCT XXXX-4425,Atticus Dundee Inc.,PAYROLL-20260313,debit,1631595.12,2995938.21,transfer
BNK-202603-0080,2026-03-13,2026-03-13,CORPORATE CARD SETTLEMENT CARD-20260313,Anchor Point Bank,CARD-20260313,debit,17738.84,2978199.37,card
BNK-202603-0081,2026-03-13,2026-03-13,CHECK 10430,DataPulse Analytics,10430,debit,11520.72,2966678.65,check
BNK-202603-0082,2026-03-13,2026-03-13,CHECK 10431,Harrowfen Facilities Group,10431,debit,305.51,2966373.14,check
BNK-202603-0083,2026-03-13,2026-03-13,CHECK 10432,Loamfield Power Cooperative,10432,debit,624.77,2965748.37,check
BNK-202603-0084,2026-03-16,2026-03-17,ACH CREDIT HAZELMERE ANALYTICS INV-2026-0405,Hazelmere Analytics,INV-2026-0405,credit,7732.71,2973481.08,ach
BNK-202603-0085,2026-03-16,2026-03-17,ACH CREDIT SAGEBROOK LLC INV-2026-0415,Sagebrook LLC,INV-2026-0415,credit,31092.26,3004573.34,ach
BNK-202603-0086,2026-03-16,2026-03-17,ACH CREDIT CINDERBROOK LLC INV-2026-0422,Cinderbrook LLC,INV-2026-0422,credit,30450.38,3035023.72,ach
BNK-202603-0087,2026-03-16,2026-03-17,ACH CREDIT WINDROW HOLDINGS INV-2026-0436,Windrow Holdings,INV-2026-0436,credit,17561.07,3052584.79,ach
BNK-202603-0088,2026-03-16,2026-03-17,ACH CREDIT SILVERDALE ANALYTICS INV-2026-0443,Silverdale Analytics,INV-2026-0443,credit,17500.59,3070085.38,ach
BNK-202603-0089,2026-03-16,2026-03-16,WIRE IN SILVERDALE ANALYTICS INV-2026-0487,Silverdale Analytics,INV-2026-0487,credit,223760.83,3293846.21,wire
BNK-202603-0090,2026-03-16,2026-03-16,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260316,Anchor Point Bank,SETTLE-20260316,credit,4503.33,3298349.54,card
BNK-202603-0091,2026-03-16,2026-03-16,ACH DEBIT FENWHISTLE TRAVEL DESK AP-2026-0339,Fenwhistle Travel Desk,AP-2026-0339,debit,24330.57,3274018.97,ach
BNK-202603-0092,2026-03-16,2026-03-16,ACH DEBIT LOAMFIELD POWER COOPERATIVE AP-2026-0345,Loamfield Power Cooperative,AP-2026-0345,debit,15794.93,3258224.04,ach
BNK-202603-0093,2026-03-16,2026-03-16,ACH DEBIT KESTRELMOOR STAFFING PARTNERS AP-2026-0352,Kestrelmoor Staffing Partners,AP-2026-0352,debit,20748.20,3237475.84,ach
BNK-202603-0094,2026-03-16,2026-03-16,CHECK 10435,Loamfield Power Cooperative,10435,debit,6867.43,3230608.41,check
BNK-202603-0095,2026-03-16,2026-03-16,CHECK 10436,Millgate Insurance Services,10436,debit,7974.01,3222634.40,check
BNK-202603-0096,2026-03-17,2026-03-18,ACH CREDIT NORTHFIELD GROUP INV-2026-0406,Northfield Group,INV-2026-0406,credit,2200.54,3224834.94,ach
BNK-202603-0097,2026-03-17,2026-03-18,ACH CREDIT HOLLOWAY VALE PARTNERS INV-2026-0430,Holloway Vale Partners,INV-2026-0430,credit,8912.27,3233747.21,ach
BNK-202603-0098,2026-03-17,2026-03-18,ACH CREDIT SILVERDALE ANALYTICS INV-2026-0434,Silverdale Analytics,INV-2026-0434,credit,15315.32,3249062.53,ach
BNK-202603-0099,2026-03-17,2026-03-18,ACH CREDIT AMBERFIELD LOGISTICS INV-2026-0453,Amberfield Logistics,INV-2026-0453,credit,20453.41,3269515.94,ach
BNK-202603-0100,2026-03-17,2026-03-18,ACH CREDIT BRAMBLECOURT LLC INV-2026-0460,Bramblecourt LLC,INV-2026-0460,credit,33772.75,3303288.69,ach
BNK-202603-0101,2026-03-17,2026-03-18,ACH CREDIT HAZELMERE ANALYTICS INV-2026-0463,Hazelmere Analytics,INV-2026-0463,credit,9886.68,3313175.37,ach
BNK-202603-0102,2026-03-17,2026-03-17,WIRE IN SAGEBROOK LLC INV-2026-0482,Sagebrook LLC,INV-2026-0482,credit,91692.36,3404867.73,wire
BNK-202603-0103,2026-03-17,2026-03-17,ACH DEBIT DATAPULSE ANALYTICS AP-2026-0368,DataPulse Analytics,AP-2026-0368,debit,33426.53,3371441.20,ach
BNK-202603-0104,2026-03-17,2026-03-17,ACH DEBIT KESTRELMOOR STAFFING PARTNERS AP-2026-0369,Kestrelmoor Staffing Partners,AP-2026-0369,debit,22549.71,3348891.49,ach
BNK-202603-0105,2026-03-17,2026-03-17,ACH DEBIT HARROWFEN FACILITIES GROUP AP-2026-0373,Harrowfen Facilities Group,AP-2026-0373,debit,12324.78,3336566.71,ach
BNK-202603-0106,2026-03-17,2026-03-17,CHECK 10438,Wrenfallow Security Systems,10438,debit,4559.33,3332007.38,check
BNK-202603-0107,2026-03-18,2026-03-19,ACH CREDIT AMBERFIELD LOGISTICS INV-2026-0403,Amberfield Logistics,INV-2026-0403,credit,12228.03,3344235.41,ach
BNK-202603-0108,2026-03-18,2026-03-19,ACH CREDIT BRAMBLECOURT LLC INV-2026-0440,Bramblecourt LLC,INV-2026-0440,credit,22539.21,3366774.62,ach
BNK-202603-0109,2026-03-18,2026-03-19,ACH CREDIT NORTHFIELD GROUP INV-2026-0442,Northfield Group,INV-2026-0442,credit,1755.14,3368529.76,ach
BNK-202603-0110,2026-03-18,2026-03-19,ACH CREDIT AMBERLINE HOLDINGS INV-2026-0450,Amberline Holdings,INV-2026-0450,credit,14571.41,3383101.17,ach
BNK-202603-0111,2026-03-18,2026-03-19,ACH CREDIT BRAMBLECOURT LLC INV-2026-0456,Bramblecourt LLC,INV-2026-0456,credit,26511.43,3409612.60,ach
BNK-202603-0112,2026-03-18,2026-03-18,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260318,Anchor Point Bank,SETTLE-20260318,credit,7784.56,3417397.16,card
BNK-202603-0113,2026-03-18,2026-03-18,ACH DEBIT TALENTFORCE HR PLATFORM AP-2026-0360,TalentForce HR Platform,AP-2026-0360,debit,27050.90,3390346.26,ach
BNK-202603-0114,2026-03-18,2026-03-18,ACH DEBIT BIRCHCROFT PROPERTIES AP-2026-0366,Birchcroft Properties,AP-2026-0366,debit,18356.18,3371990.08,ach
BNK-202603-0115,2026-03-18,2026-03-18,CHECK 10440,Kestrelmoor Staffing Partners,10440,debit,9514.67,3362475.41,check
BNK-202603-0116,2026-03-18,2026-03-18,CHECK 10441,Braxmoor Recruiting Group,10441,debit,7317.19,3355158.22,check
BNK-202603-0117,2026-03-19,2026-03-20,ACH CREDIT BRAMBLECOURT ANALYTICS INV-2026-0412,Bramblecourt Analytics,INV-2026-0412,credit,31595.67,3386753.89,ach
BNK-202603-0118,2026-03-19,2026-03-20,ACH CREDIT BRAMBLECOURT LLC INV-2026-0437,Bramblecourt LLC,INV-2026-0437,credit,14393.28,3401147.17,ach
BNK-202603-0119,2026-03-19,2026-03-20,ACH CREDIT WINDROW HOLDINGS INV-2026-0441,Windrow Holdings,INV-2026-0441,credit,13839.74,3414986.91,ach
BNK-202603-0120,2026-03-19,2026-03-19,WIRE IN BRAMBLECOURT ANALYTICS INV-2026-0477,Bramblecourt Analytics,INV-2026-0477,credit,143514.36,3558501.27,wire
BNK-202603-0121,2026-03-19,2026-03-19,ACH DEBIT KESTRELMOOR STAFFING PARTNERS AP-2026-0350,Kestrelmoor Staffing Partners,AP-2026-0350,debit,12777.58,3545723.69,ach
BNK-202603-0122,2026-03-19,2026-03-19,ACH DEBIT SARROWMERE PRINT WORKS AP-2026-0351,Sarrowmere Print Works,AP-2026-0351,debit,6454.86,3539268.83,ach
BNK-202603-0123,2026-03-19,2026-03-19,ACH DEBIT FENWHISTLE TRAVEL DESK AP-2026-0358,Fenwhistle Travel Desk,AP-2026-0358,debit,16182.59,3523086.24,ach
BNK-202603-0124,2026-03-19,2026-03-19,ACH DEBIT KESTRELMOOR STAFFING PARTNERS AP-2026-0379,Kestrelmoor Staffing Partners,AP-2026-0379,debit,26346.89,3496739.35,ach
BNK-202603-0125,2026-03-19,2026-03-19,CHECK 10437,Harrowfen Facilities Group,10437,debit,4629.36,3492109.99,check
BNK-202603-0126,2026-03-20,2026-03-23,ACH CREDIT COPPERFEN PARTNERS INV-2026-0413,Copperfen Partners,INV-2026-0413,credit,26425.42,3518535.41,ach
BNK-202603-0127,2026-03-20,2026-03-23,ACH CREDIT ELMSTEAD HOLDINGS INV-2026-0414,Elmstead Holdings,INV-2026-0414,credit,36103.76,3554639.17,ach
BNK-202603-0128,2026-03-20,2026-03-23,ACH CREDIT CINDERBROOK LLC INV-2026-0420,Cinderbrook LLC,INV-2026-0420,credit,35320.44,3589959.61,ach
BNK-202603-0129,2026-03-20,2026-03-23,ACH CREDIT AMBERLINE HOLDINGS INV-2026-0427,Amberline Holdings,INV-2026-0427,credit,43194.38,3633153.99,ach
BNK-202603-0130,2026-03-20,2026-03-23,ACH CREDIT ELMSTEAD HOLDINGS INV-2026-0447,Elmstead Holdings,INV-2026-0447,credit,28623.04,3661777.03,ach
BNK-202603-0131,2026-03-20,2026-03-20,WIRE OUT WRENFALLOW SECURITY SYSTEMS AP-2026-0383,Wrenfallow Security Systems,AP-2026-0383,debit,71644.95,3590132.08,wire
BNK-202603-0132,2026-03-20,2026-03-20,CORPORATE CARD SETTLEMENT CARD-20260320,Anchor Point Bank,CARD-20260320,debit,17546.36,3572585.72,card
BNK-202603-0133,2026-03-23,2026-03-24,ACH CREDIT THORNWICK PARTNERS INV-2026-0468,Thornwick Partners,INV-2026-0468,credit,22015.25,3594600.97,ach
BNK-202603-0134,2026-03-23,2026-03-23,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260323,Anchor Point Bank,SETTLE-20260323,credit,943.65,3595544.62,card
BNK-202603-0135,2026-03-23,2026-03-23,ACH DEBIT BIRCHCROFT PROPERTIES AP-2026-0341,Birchcroft Properties,AP-2026-0341,debit,19570.45,3575974.17,ach
BNK-202603-0136,2026-03-23,2026-03-23,ACH DEBIT CEDARLINE OFFICE SUPPLY AP-2026-0346,Cedarline Office Supply,AP-2026-0346,debit,32135.18,3543838.99,ach
BNK-202603-0137,2026-03-23,2026-03-23,ACH DEBIT TALENTFORCE HR PLATFORM AP-2026-0348,TalentForce HR Platform,AP-2026-0348,debit,27964.31,3515874.68,ach
BNK-202603-0138,2026-03-23,2026-03-23,ACH DEBIT WRENFALLOW SECURITY SYSTEMS AP-2026-0371,Wrenfallow Security Systems,AP-2026-0371,debit,18930.76,3496943.92,ach
BNK-202603-0139,2026-03-24,2026-03-25,ACH CREDIT GLADEWICK LLC INV-2026-0448,Gladewick LLC,INV-2026-0448,credit,21341.21,3518285.13,ach
BNK-202603-0140,2026-03-24,2026-03-24,ACH DEBIT CEDARLINE OFFICE SUPPLY AP-2026-0337,Cedarline Office Supply,AP-2026-0337,debit,623.65,3517661.48,ach
BNK-202603-0141,2026-03-24,2026-03-24,ACH DEBIT FALLOWMERE CATERING AP-2026-0355,Fallowmere Catering,AP-2026-0355,debit,28342.42,3489319.06,ach
BNK-202603-0142,2026-03-24,2026-03-24,ACH DEBIT DATAPULSE ANALYTICS AP-2026-0363,DataPulse Analytics,AP-2026-0363,debit,34337.54,3454981.52,ach
BNK-202603-0143,2026-03-24,2026-03-24,CHECK 10443,TalentForce HR Platform,10443,debit,11820.96,3443160.56,check
BNK-202603-0144,2026-03-25,2026-03-26,ACH CREDIT BRAMBLECOURT ANALYTICS INV-2026-0407,Bramblecourt Analytics,INV-2026-0407,credit,34342.56,3477503.12,ach
BNK-202603-0145,2026-03-25,2026-03-26,ACH CREDIT CINDERBROOK LLC INV-2026-0444,Cinderbrook LLC,INV-2026-0444,credit,33444.43,3510947.55,ach
BNK-202603-0146,2026-03-25,2026-03-26,ACH CREDIT AMBERFIELD LOGISTICS INV-2026-0451,Amberfield Logistics,INV-2026-0451,credit,39716.47,3550664.02,ach
BNK-202603-0147,2026-03-25,2026-03-26,ACH CREDIT CINDERBROOK LLC INV-2026-0454,Cinderbrook LLC,INV-2026-0454,credit,23852.93,3574516.95,ach
BNK-202603-0148,2026-03-25,2026-03-25,WIRE IN GLADEWICK LLC INV-2026-0473,Gladewick LLC,INV-2026-0473,credit,179113.53,3753630.48,wire
BNK-202603-0149,2026-03-25,2026-03-25,WIRE IN NORTHFIELD GROUP INV-2026-0480,Northfield Group,INV-2026-0480,credit,226100.62,3979731.10,wire
BNK-202603-0150,2026-03-25,2026-03-25,WIRE IN GLADEWICK LLC INV-2026-0485,Gladewick LLC,INV-2026-0485,credit,105745.75,4085476.85,wire
BNK-202603-0151,2026-03-25,2026-03-25,WIRE IN WRENHAVEN GROUP INV-2026-0486,Wrenhaven Group,INV-2026-0486,credit,68478.04,4153954.89,wire
BNK-202603-0152,2026-03-25,2026-03-25,ACH DEBIT DATAPULSE ANALYTICS AP-2026-0332,DataPulse Analytics,AP-2026-0332,debit,22804.05,4131150.84,ach
BNK-202603-0153,2026-03-25,2026-03-25,ACH DEBIT BIRCHCROFT PROPERTIES AP-2026-0338,Birchcroft Properties,AP-2026-0338,debit,12363.96,4118786.88,ach
BNK-202603-0154,2026-03-25,2026-03-25,ACH DEBIT DATAPULSE ANALYTICS AP-2026-0354,DataPulse Analytics,AP-2026-0354,debit,34300.05,4084486.83,ach
BNK-202603-0155,2026-03-25,2026-03-25,CHECK 10446,DataPulse Analytics,10446,debit,3014.81,4081472.02,check
BNK-202603-0156,2026-03-25,2026-03-25,CHECK 10451,Kestrelmoor Staffing Partners,10451,debit,4851.37,4076620.65,check
BNK-202603-0157,2026-03-26,2026-03-27,ACH CREDIT HOLLOWAY VALE PARTNERS INV-2026-0423,Holloway Vale Partners,INV-2026-0423,credit,14716.71,4091337.36,ach
BNK-202603-0158,2026-03-26,2026-03-27,ACH CREDIT SAGEBROOK LLC INV-2026-0452,Sagebrook LLC,INV-2026-0452,credit,3971.40,4095308.76,ach
BNK-202603-0159,2026-03-26,2026-03-26,ACH DEBIT THACKENRIDGE COURIER AP-2026-0367,Thackenridge Courier,AP-2026-0367,debit,19730.51,4075578.25,ach
