po_number,po_line,vendor_canon_id,vendor_name,description,gl_account,quantity_ordered,quantity_received,quantity_invoiced,unit_price,ordered_value,received_value,invoiced_value,accrued_value,last_receipt_date,currency,as_of
PO-2026-0129,2,co-190,Wrenfallow Security Systems,Badge readers and controllers,1400,9,9,4,220.59,1985.31,1985.31,882.36,1102.95,2026-03-26,USD,2026-03-31
PO-2026-0131,1,co-183,Kestrelmoor Staffing Partners,Interim analyst placement,6030,70,28,0,109.79,7685.30,3074.12,0.00,3074.12,2026-03-18,USD,2026-03-31
PO-2026-0131,2,co-183,Kestrelmoor Staffing Partners,Seasonal support staffing,6030,291,218,109,106.71,31052.61,23262.78,11631.39,11631.39,2026-03-27,USD,2026-03-31
PO-2026-0134,1,co-107,Cedarline Office Supply,Office paper and consumables,6120,113,68,0,93.84,10603.92,6381.12,0.00,6381.12,2026-03-23,USD,2026-03-31
PO-2026-0135,1,co-109,Birchcroft Properties,Suite 400 common area charge,6100,3,3,0,12410.28,37230.84,37230.84,0.00,0.00,2026-03-24,USD,2026-03-31
PO-2026-0135,2,co-109,Birchcroft Properties,After-hours HVAC,6100,4,4,2,7733.41,30933.64,30933.64,15466.82,15466.82,2026-03-22,USD,2026-03-31
PO-2026-0136,1,co-182,Harrowfen Facilities Group,Reception desk coverage,6100,6,0,0,3605.98,21635.88,0.00,0.00,0.00,,USD,2026-03-31
PO-2026-0139,1,co-182,Harrowfen Facilities Group,Reception desk coverage,6100,7,7,3,6287.83,44014.81,44014.81,18863.49,25151.32,2026-03-26,USD,2026-03-31
PO-2026-0139,2,co-182,Harrowfen Facilities Group,Cleaning and janitorial service,6100,3,3,0,5664.84,16994.52,16994.52,0.00,16994.52,2026-03-30,USD,2026-03-31
PO-2026-0142,1,co-187,Fenwhistle Travel Desk,Managed travel booking fees,6400,74,0,0,20.57,1522.18,0.00,0.00,0.00,,USD,2026-03-31
PO-2026-0146,1,co-107,Cedarline Office Supply,Printer toner cartridges,6120,238,119,0,76.95,18314.10,9157.05,0.00,9157.05,2026-03-29,USD,2026-03-31
PO-2026-0147,1,co-188,Fallowmere Catering,Customer advisory board dinner,6310,71,28,0,75.46,5357.66,2112.88,0.00,2112.88,2026-03-31,USD,2026-03-31
