entry_id,line_no,posting_date,approved_date,gl_account,account_name,description,counterparty,debit,credit,currency,entry_type,source_document,prepared_by,approved_by
JE-202603-C006,1,2026-03-27,2026-04-04,5000,Hosting and Infrastructure,March 2026 accrual - Halvermoor Cloud Services - managed database,Halvermoor Cloud Services,77499.67,,USD,accrual,VINV-2026-0106,EMP-0486,EMP-0473
JE-202603-C006,2,2026-03-27,2026-04-04,5000,Hosting and Infrastructure,March 2026 accrual - Halvermoor Cloud Services - observability tier,Halvermoor Cloud Services,41333.15,,USD,accrual,VINV-2026-0106,EMP-0486,EMP-0473
JE-202603-C006,3,2026-03-27,2026-04-04,2010,Accrued Liabilities,March 2026 accrual - Halvermoor Cloud Services - accrued liabilities,Halvermoor Cloud Services,,118832.82,USD,accrual,VINV-2026-0106,EMP-0486,EMP-0473
JE-202603-C007,1,2026-03-27,2026-04-07,6030,Contractors and Consultants,March 2026 accrual - Kestrelmoor Staffing Partners - contract engineering,Kestrelmoor Staffing Partners,4378.88,,USD,accrual,VINV-2026-0143,EMP-0486,EMP-0473
JE-202603-C007,2,2026-03-27,2026-04-07,6040,Recruiting,March 2026 accrual - Kestrelmoor Staffing Partners - contract analyst cover,Kestrelmoor Staffing Partners,7252.51,,USD,accrual,VINV-2026-0143,EMP-0486,EMP-0473
JE-202603-C007,3,2026-03-27,2026-04-07,2010,Accrued Liabilities,March 2026 accrual - Kestrelmoor Staffing Partners - accrued liabilities,Kestrelmoor Staffing Partners,,11631.39,USD,accrual,VINV-2026-0143,EMP-0486,EMP-0473
JE-202603-C008,1,2026-03-28,2026-04-04,6020,Employee Benefits,March 2026 accrual - TalentForce HR Platform - leave administration,TalentForce HR Platform,6899.96,,USD,accrual,VINV-2026-0117,EMP-0486,EMP-0473
JE-202603-C008,2,2026-03-28,2026-04-04,2020,Accrued Payroll,March 2026 accrual - TalentForce HR Platform - leave administration,TalentForce HR Platform,,6899.96,USD,accrual,VINV-2026-0117,EMP-0486,EMP-0473
JE-202603-C009,1,2026-03-28,2026-04-06,5000,Hosting and Infrastructure,March 2026 accrual - Halvermoor Cloud Services - compute reservations,Halvermoor Cloud Services,28590.96,,USD,accrual,VINV-2026-0170,EMP-0486,EMP-0473
JE-202603-C009,2,2026-03-28,2026-04-06,5000,Hosting and Infrastructure,March 2026 accrual - Halvermoor Cloud Services - object storage,Halvermoor Cloud Services,31357.82,,USD,accrual,VINV-2026-0170,EMP-0486,EMP-0473
JE-202603-C009,3,2026-03-28,2026-04-06,5000,Hosting and Infrastructure,March 2026 accrual - Halvermoor Cloud Services - egress and transfer,Halvermoor Cloud Services,47036.74,,USD,accrual,VINV-2026-0170,EMP-0486,EMP-0473
JE-202603-C009,4,2026-03-28,2026-04-06,2010,Accrued Liabilities,March 2026 accrual - Halvermoor Cloud Services - accrued liabilities,Halvermoor Cloud Services,,106985.52,USD,accrual,VINV-2026-0170,EMP-0486,EMP-0473
JE-202603-C010,1,2026-03-28,2026-04-02,6200,Software Subscriptions,March 2026 accrual - DataPulse Analytics - data enrichment credits,DataPulse Analytics,44414.20,,USD,accrual,VINV-2026-0166,EMP-0486,EMP-0473
JE-202603-C010,2,2026-03-28,2026-04-02,6200,Software Subscriptions,March 2026 accrual - DataPulse Analytics - reporting workspace,DataPulse Analytics,41286.44,,USD,accrual,VINV-2026-0166,EMP-0486,EMP-0473
JE-202603-C010,3,2026-03-28,2026-04-02,2010,Accrued Liabilities,March 2026 accrual - DataPulse Analytics - accrued liabilities,DataPulse Analytics,,85700.64,USD,accrual,VINV-2026-0166,EMP-0486,EMP-0473
JE-202603-C011,1,2026-03-28,2026-04-07,6100,Rent and Facilities,March 2026 accrual - Birchcroft Properties - parking licenses,Birchcroft Properties,10615.56,,USD,accrual,VINV-2026-0149,EMP-0486,EMP-0473
JE-202603-C011,2,2026-03-28,2026-04-07,6100,Rent and Facilities,March 2026 accrual - Birchcroft Properties - facilities service charge,Birchcroft Properties,7077.04,,USD,accrual,VINV-2026-0149,EMP-0486,EMP-0473
JE-202603-C011,3,2026-03-28,2026-04-07,2010,Accrued Liabilities,March 2026 accrual - Birchcroft Properties - accrued liabilities,Birchcroft Properties,,17692.60,USD,accrual,VINV-2026-0149,EMP-0486,EMP-0473
JE-202603-C012,1,2026-03-29,2026-04-02,6020,Employee Benefits,March 2026 accrual - TalentForce HR Platform - employer contributions,TalentForce HR Platform,30393.74,,USD,accrual,VINV-2026-0111,EMP-0486,EMP-0473
JE-202603-C012,2,2026-03-29,2026-04-02,2030,Accrued Bonus,March 2026 accrual - TalentForce HR Platform - employer contributions,TalentForce HR Platform,,30393.74,USD,accrual,VINV-2026-0111,EMP-0486,EMP-0473
JE-202603-C013,1,2026-03-29,2026-04-01,6600,Insurance,March 2026 accrual - Millgate Insurance Services - property and casualty program,Millgate Insurance Services,9566.54,,USD,accrual,VINV-2026-0157,EMP-0486,EMP-0473
JE-202603-C013,2,2026-03-29,2026-04-01,6600,Insurance,March 2026 accrual - Millgate Insurance Services - cyber liability program,Millgate Insurance Services,18108.10,,USD,accrual,VINV-2026-0157,EMP-0486,EMP-0473
JE-202603-C013,3,2026-03-29,2026-04-01,2010,Accrued Liabilities,March 2026 accrual - Millgate Insurance Services - accrued liabilities,Millgate Insurance Services,,27674.64,USD,accrual,VINV-2026-0157,EMP-0486,EMP-0473
JE-202603-C014,1,2026-03-29,2026-04-05,6200,Software Subscriptions,March 2026 accrual - DataPulse Analytics - usage overage,DataPulse Analytics,18273.69,,USD,accrual,VINV-2026-0126,EMP-0486,EMP-0473
JE-202603-C014,2,2026-03-29,2026-04-05,2010,Accrued Liabilities,March 2026 accrual - DataPulse Analytics - usage overage,DataPulse Analytics,,18273.69,USD,accrual,VINV-2026-0126,EMP-0486,EMP-0473
JE-202603-C015,1,2026-03-30,2026-04-03,6020,Employee Benefits,March 2026 accrual - TalentForce HR Platform - benefits administration,TalentForce HR Platform,26862.09,,USD,accrual,VINV-2026-0151,EMP-0486,EMP-0473
JE-202603-C015,2,2026-03-30,2026-04-03,2020,Accrued Payroll,March 2026 accrual - TalentForce HR Platform - benefits administration,TalentForce HR Platform,,26862.09,USD,accrual,VINV-2026-0151,EMP-0486,EMP-0473
JE-202603-C016,1,2026-03-30,2026-04-05,6120,Office Expense,March 2026 accrual - Cedarline Office Supply - workspace consumables,Cedarline Office Supply,2744.18,,USD,accrual,VINV-2026-0125,EMP-0486,EMP-0473
JE-202603-C016,2,2026-03-30,2026-04-05,6120,Office Expense,March 2026 accrual - Cedarline Office Supply - desk equipment,Cedarline Office Supply,2561.23,,USD,accrual,VINV-2026-0125,EMP-0486,EMP-0473
JE-202603-C016,3,2026-03-30,2026-04-05,2010,Accrued Liabilities,March 2026 accrual - Cedarline Office Supply - accrued liabilities,Cedarline Office Supply,,5305.41,USD,accrual,VINV-2026-0125,EMP-0486,EMP-0473
JE-202603-C017,1,2026-03-30,2026-04-03,6100,Rent and Facilities,March 2026 accrual - Birchcroft Properties - headquarters rent,Birchcroft Properties,7602.34,,USD,accrual,VINV-2026-0162,EMP-0486,EMP-0473
JE-202603-C017,2,2026-03-30,2026-04-03,6100,Rent and Facilities,March 2026 accrual - Birchcroft Properties - operating expense recovery,Birchcroft Properties,7864.48,,USD,accrual,VINV-2026-0162,EMP-0486,EMP-0473
JE-202603-C017,3,2026-03-30,2026-04-03,2010,Accrued Liabilities,March 2026 accrual - Birchcroft Properties - accrued liabilities,Birchcroft Properties,,15466.82,USD,accrual,VINV-2026-0162,EMP-0486,EMP-0473
JE-202603-C018,1,2026-03-30,2026-04-03,6200,Software Subscriptions,March 2026 accrual - DataPulse Analytics - usage overage,DataPulse Analytics,18273.69,,USD,accrual,VINV-2026-0126,EMP-0486,EMP-0473
JE-202603-C018,2,2026-03-30,2026-04-03,2010,Accrued Liabilities,March 2026 accrual - DataPulse Analytics - usage overage,DataPulse Analytics,,18273.69,USD,accrual,VINV-2026-0126,EMP-0486,EMP-0473
JE-202603-C019,1,2026-03-31,2026-04-06,6020,Employee Benefits,March 2026 accrual - TalentForce HR Platform - payroll platform usage,TalentForce HR Platform,17349.64,,USD,accrual,VINV-2026-0148,EMP-0486,EMP-0473
JE-202603-C019,2,2026-03-31,2026-04-06,2020,Accrued Payroll,March 2026 accrual - TalentForce HR Platform - payroll platform usage,TalentForce HR Platform,,17349.64,USD,accrual,VINV-2026-0148,EMP-0486,EMP-0473
JE-202603-C020,1,2026-03-31,2026-04-01,6020,Employee Benefits,March 2026 accrual - TalentForce HR Platform - open enrollment support,TalentForce HR Platform,12773.75,,USD,accrual,VINV-2026-0124,EMP-0486,EMP-0473
JE-202603-C020,2,2026-03-31,2026-04-01,2020,Accrued Payroll,March 2026 accrual - TalentForce HR Platform - open enrollment support,TalentForce HR Platform,,12773.75,USD,accrual,VINV-2026-0124,EMP-0486,EMP-0473
JE-202603-C021,1,2026-03-31,2026-04-06,6600,Insurance,March 2026 accrual - Millgate Insurance Services - broker servicing fees,Millgate Insurance Services,13819.67,,USD,accrual,VINV-2026-0130,EMP-0486,EMP-0473
JE-202603-C021,2,2026-03-31,2026-04-06,6600,Insurance,March 2026 accrual - Millgate Insurance Services - umbrella policy instalment,Millgate Insurance Services,6803.53,,USD,accrual,VINV-2026-0130,EMP-0486,EMP-0473
JE-202603-C021,3,2026-03-31,2026-04-06,2010,Accrued Liabilities,March 2026 accrual - Millgate Insurance Services - accrued liabilities,Millgate Insurance Services,,20623.20,USD,accrual,VINV-2026-0130,EMP-0486,EMP-0473
JE-202603-C022,1,2026-03-31,2026-04-06,6030,Contractors and Consultants,March 2026 accrual - Kestrelmoor Staffing Partners - interim support,Kestrelmoor Staffing Partners,16999.92,,USD,accrual,VINV-2026-0142,EMP-0486,EMP-0473
JE-202603-C022,2,2026-03-31,2026-04-06,6030,Contractors and Consultants,March 2026 accrual - Kestrelmoor Staffing Partners - contract design cover,Kestrelmoor Staffing Partners,16319.92,,USD,accrual,VINV-2026-0142,EMP-0486,EMP-0473
JE-202603-C022,3,2026-03-31,2026-04-06,2010,Accrued Liabilities,March 2026 accrual - Kestrelmoor Staffing Partners - accrued liabilities,Kestrelmoor Staffing Partners,,33319.84,USD,accrual,VINV-2026-0142,EMP-0486,EMP-0473
JE-202603-C023,1,2026-03-31,2026-04-03,6200,Software Subscriptions,March 2026 accrual - DataPulse Analytics - analytics platform seats,DataPulse Analytics,2398.57,,USD,accrual,VINV-2026-0134,EMP-0486,EMP-0473
JE-202603-C023,2,2026-03-31,2026-04-03,6200,Software Subscriptions,March 2026 accrual - DataPulse Analytics - usage overage,DataPulse Analytics,1870.07,,USD,accrual,VINV-2026-0134,EMP-0486,EMP-0473
JE-202603-C023,3,2026-03-31,2026-04-03,2010,Accrued Liabilities,March 2026 accrual - DataPulse Analytics - accrued liabilities,DataPulse Analytics,,4268.64,USD,accrual,VINV-2026-0134,EMP-0486,EMP-0473
JE-202603-C024,1,2026-03-31,2026-04-02,6800,Depreciation and Amortization,March 2026 depreciation - computer equipment,Atticus Dundee Inc.,110907.33,,USD,depreciation,VINV-2026-0165,EMP-0486,EMP-0473
JE-202603-C024,2,2026-03-31,2026-04-02,1490,Accumulated Depreciation,March 2026 depreciation - computer equipment,Atticus Dundee Inc.,,110907.33,USD,depreciation,VINV-2026-0165,EMP-0486,EMP-0473
JE-202603-C025,1,2026-03-31,2026-04-04,6800,Depreciation and Amortization,March 2026 depreciation - furniture and fixtures,Atticus Dundee Inc.,86701.17,,USD,depreciation,VINV-2026-0152,EMP-0486,EMP-0473
JE-202603-C025,2,2026-03-31,2026-04-04,1490,Accumulated Depreciation,March 2026 depreciation - furniture and fixtures,Atticus Dundee Inc.,,86701.17,USD,depreciation,VINV-2026-0152,EMP-0486,EMP-0473
JE-202603-C026,1,2026-03-31,2026-04-04,6800,Depreciation and Amortization,March 2026 amortization - capitalized software,Atticus Dundee Inc.,66779.06,,USD,amortization,CORE-01,EMP-0486,EMP-0473
JE-202603-C026,2,2026-03-31,2026-04-04,1590,Accumulated Amortization,March 2026 amortization - capitalized software,Atticus Dundee Inc.,,66779.06,USD,amortization,CORE-01,EMP-0486,EMP-0473
JE-202603-C027,1,2026-03-31,2026-04-02,6800,Depreciation and Amortization,March 2026 amortization - leasehold improvements,Atticus Dundee Inc.,35787.26,,USD,amortization,VINV-2026-0114,EMP-0486,EMP-0473
JE-202603-C027,2,2026-03-31,2026-04-02,1590,Accumulated Amortization,March 2026 amortization - leasehold improvements,Atticus Dundee Inc.,,35787.26,USD,amortization,VINV-2026-0114,EMP-0486,EMP-0473
JE-202603-C028,1,2026-03-31,2026-04-04,1230,Other Prepaid Expenses,Reclass of prepaid balance - DataPulse Analytics,DataPulse Analytics,9996.39,,USD,reclass,VINV-2026-0160,EMP-0486,EMP-0473
JE-202603-C028,2,2026-03-31,2026-04-04,1200,Prepaid Software Subscriptions,Reclass of prepaid balance - DataPulse Analytics,DataPulse Analytics,,9996.39,USD,reclass,VINV-2026-0160,EMP-0486,EMP-0473
JE-202603-C029,1,2026-03-31,2026-04-04,1500,Capitalized Software Development,Allocation of contract development cost - Kestrelmoor Staffing Partners,Kestrelmoor Staffing Partners,14204.84,,USD,allocation,BILL-2026-0129,EMP-0486,EMP-0473
JE-202603-C029,2,2026-03-31,2026-04-04,6030,Contractors and Consultants,Allocation of contract development cost - Kestrelmoor Staffing Partners,Kestrelmoor Staffing Partners,,14204.84,USD,allocation,BILL-2026-0129,EMP-0486,EMP-0473
JE-202603-C030,1,2026-03-31,2026-04-02,6125,Office Supplies (merged into 6120 Office Expense),March 2026 accrual - Sarrowmere Print Works - printed materials and stationery,Sarrowmere Print Works,17645.70,,USD,accrual,VINV-2026-0141,EMP-0486,EMP-0473
JE-202603-C030,2,2026-03-31,2026-04-02,2010,Accrued Liabilities,March 2026 accrual - Sarrowmere Print Works - accrued liabilities,Sarrowmere Print Works,,17645.70,USD,accrual,VINV-2026-0141,EMP-0486,EMP-0473
JE-202603-C031,1,2026-03-31,2026-04-04,2010,Accrued Liabilities,Regrouping of accrued balances at period end,Atticus Dundee Inc.,42575.53,,USD,standard,,EMP-0486,EMP-0473
JE-202603-C031,2,2026-03-31,2026-04-04,2030,Accrued Bonus,Regrouping of accrued balances at period end,Atticus Dundee Inc.,19673.18,,USD,standard,,EMP-0486,EMP-0473
JE-202603-C031,3,2026-03-31,2026-04-04,2110,Employee Benefits Payable,Regrouping of accrued balances at period end,Atticus Dundee Inc.,,37349.23,USD,standard,,EMP-0486,EMP-0473
JE-202603-C031,4,2026-03-31,2026-04-04,2100,Payroll Taxes Payable,Regrouping of accrued balances at period end,Atticus Dundee Inc.,,24899.48,USD,standard,,EMP-0486,EMP-0473
