account_code,account_name,bank_canon_id,bank_name,account_number_masked,period_end,book_balance,bank_balance,reconciling_difference,source_artifact
1050,Petty Cash,,,,2024-04-30,2470.38,2470.38,0.00,
1050,Petty Cash,,,,2024-05-31,2495.62,2495.62,0.00,
1050,Petty Cash,,,,2024-06-30,2446.67,2446.67,0.00,
1050,Petty Cash,,,,2024-07-31,2424.07,2424.07,0.00,
1050,Petty Cash,,,,2024-08-31,2521.10,2521.10,0.00,
1050,Petty Cash,,,,2024-09-30,2430.78,2430.78,0.00,
1050,Petty Cash,,,,2024-10-31,2263.86,2263.86,0.00,
1050,Petty Cash,,,,2024-11-30,2458.93,2458.93,0.00,
1050,Petty Cash,,,,2024-12-31,2294.86,2294.86,0.00,
1050,Petty Cash,,,,2025-01-31,2487.51,2487.51,0.00,
1050,Petty Cash,,,,2025-02-28,2376.23,2376.23,0.00,
1050,Petty Cash,,,,2025-03-31,2411.75,2411.75,0.00,
1050,Petty Cash,,,,2025-04-30,2421.50,2421.50,0.00,
1050,Petty Cash,,,,2025-05-31,2312.20,2312.20,0.00,
1050,Petty Cash,,,,2025-06-30,2398.05,2398.05,0.00,
1050,Petty Cash,,,,2025-07-31,2231.03,2231.03,0.00,
1050,Petty Cash,,,,2025-08-31,2296.13,2296.13,0.00,
1050,Petty Cash,,,,2025-09-30,2191.83,2191.83,0.00,
1050,Petty Cash,,,,2025-10-31,2396.91,2396.91,0.00,
1050,Petty Cash,,,,2025-11-30,2176.26,2176.26,0.00,
1050,Petty Cash,,,,2025-12-31,2191.65,2191.65,0.00,
1050,Petty Cash,,,,2026-01-31,2190.10,2190.10,0.00,
1050,Petty Cash,,,,2026-02-28,2270.89,2270.89,0.00,FIN-05
1050,Petty Cash,,,,2026-03-31,2079.13,2079.13,0.00,FIN-05
