contact_id,customer_canon_id,customer_name,contact_date,channel,direction,dunning_stage,owner_employee_id,outcome,promise_to_pay_date,promise_amount,disputed_document_number,next_action_date
COL-2026-0144,co-160,Gladewick LLC,2026-03-16,letter,outbound,4,EMP-0472,message_left,,,,2026-03-30
COL-2026-0145,co-164,Kettlebrook Partners,2026-03-16,email,inbound,4,EMP-0472,payment_received,,130245.21,,2026-03-30
COL-2026-0146,co-153,Silverdale Analytics,2026-03-17,letter,outbound,4,EMP-0479,message_left,,,,2026-03-27
COL-2026-0147,co-161,Holloway Vale Partners,2026-03-17,letter,outbound,4,EMP-0479,message_left,,,,2026-03-30
COL-2026-0148,co-150,Elmstead Holdings,2026-03-18,letter,outbound,4,EMP-0479,no_answer,,,,2026-03-30
COL-2026-0149,co-103,Fernwell Retail Group,2026-03-19,letter,outbound,4,EMP-0479,no_answer,,,,2026-03-30
COL-2026-0150,co-151,Copperfen Partners,2026-03-19,letter,outbound,4,EMP-0472,message_left,,,,2026-03-30
COL-2026-0151,co-143,Amberline Holdings,2026-03-23,letter,outbound,4,EMP-0472,message_left,,,,2026-03-30
COL-2026-0152,co-145,Thornwick Partners,2026-03-23,letter,outbound,4,EMP-0472,no_answer,,,,2026-03-31
COL-2026-0153,co-102,Amberfield Logistics,2026-03-24,email,inbound,1,EMP-0472,dispute_raised,,,INV-2026-0506,2026-03-31
COL-2026-0154,co-142,Cinderbrook LLC,2026-03-27,phone,outbound,2,EMP-0479,no_answer,,,,2026-04-03
COL-2026-0155,co-153,Silverdale Analytics,2026-03-27,letter,outbound,4,EMP-0479,escalated,,,,2026-04-03
COL-2026-0156,co-103,Fernwell Retail Group,2026-03-30,letter,outbound,4,EMP-0479,escalated,,,,2026-04-06
COL-2026-0157,co-140,Bramblecourt Analytics,2026-03-30,letter,outbound,4,EMP-0472,escalated,,,,2026-04-06
COL-2026-0158,co-143,Amberline Holdings,2026-03-30,letter,outbound,4,EMP-0472,escalated,,,,2026-04-06
COL-2026-0159,co-150,Elmstead Holdings,2026-03-30,letter,outbound,4,EMP-0479,escalated,,,,2026-04-06
COL-2026-0160,co-151,Copperfen Partners,2026-03-30,letter,outbound,4,EMP-0472,no_answer,,,,2026-04-06
COL-2026-0161,co-160,Gladewick LLC,2026-03-30,email,inbound,4,EMP-0472,payment_received,,43767.02,INV-2025-0823,2026-04-06
COL-2026-0162,co-161,Holloway Vale Partners,2026-03-30,letter,outbound,4,EMP-0479,escalated,,,,2026-04-06
COL-2026-0163,co-164,Kettlebrook Partners,2026-03-30,letter,outbound,4,EMP-0472,no_answer,,,,2026-04-06
COL-2026-0164,co-145,Thornwick Partners,2026-03-31,letter,outbound,4,EMP-0472,escalated,,,,2026-04-07
